"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"173","883.5032@10.010007","177272","283540","294301","294966","207309","155169","230274","145863","274228",NA,"286228","257386","239849","245084","302408","240826","297355","126866","247954","207395","310478",NA,"77108","151494","146619","236984","185777","280293","236194","257889","232201","192738","291910","180250","271113","244588",NA,"297886","242376","290992","304571","199844","270821","178228","130013","218810","263263","250580"
"174","917.5041@8.0859995","160505",NA,NA,"240214","106190","233954","276518",NA,"142269","290681","197598","324381","339163","149125","314353","189298","156392","126685",NA,"161386","164730","184838","340961","186410","231089","225141","116012","234910","171262","215828","193590","191068","153360","184415","82018","175139","200040","138004","312656","154514","104922","198998","106056",NA,"294555","224827","127186","172010"
"175","120.0528@2.1500003","5051","NaN","21015","4808","6028","3517","13964","8118",NA,"12315",NA,"NaN","3659","NaN","11315","15269","15165","NaN","NaN","NaN","14205","4035","NaN","16632","9223","NaN","9927","3916","13334","3430","4314",NA,NA,"23406","7862","14895","NaN",NA,"22600","16216","10200","NaN","NaN","NaN","NaN","NaN","6861","3456"
"176","595.3475@5.8309956","45708","81104","96544","24997","68636","61347","56579","74060","56289","118266","75182","72496","109314","60122","59661","63240","98691",NA,"62303","85897","59400","63136","126352","77700","55121","82529","72833","59611","72371","54707","40733","53824","58124","59527","17106","66887","26093","44614","69885","37374","49708","70998","37699","87249","82774","24695","49568","34123"
"177","710.6073@0.24399996","9226",NA,"6696","5592","8413","8906","8012","6919","6411","4485","5878","8474","6253","9351","9659","10736","7719","9015","7048","7704","8175","6282","5605","9856","7482","9885",NA,"8842","8416",NA,"6214","7097","6724","4424","5828","5801","3573","6397","8107","7914","8526","9172","4906","6208","4890","4127","4465","5871"
"178","771.3139@5.867003","17317","18979","15931","16484",NA,"18994","17826","19538","17579","15850","20045","15763","15883","16675","15495",NA,"20597",NA,"12758","16098","20377","19056","20545","16923","17882","15117","11163","13186","13156","13830","20555",NA,"18926","21463","16817","14612",NA,"17507","13394","12710",NA,"14805",NA,NA,"16674","15296","18441","13243"
"179","911.5309@9.706986","15809","12760","17642","11879",NA,"16434","14611","18573","16327","17539","15117","17248","13077","13887","14243","21301",NA,"13449","19532","16921","12815","16032","11215","15749","18681","22779","18281","17235","13588","14617",NA,"12808","17625","6086","16453","16084","13650",NA,"13311","17438","9906","15561","12619","19407","14701",NA,"10530","13807"
"180","855.5729@8.749007","69968","94864","149712","102431","65506","83468","65678","107608","57060","137179","105346","196892","114506","139026","175622","186794","129788","81171","82856","106422","93839","55018","107222","73725","122185","125277","24464","148590","87340","125883","99630","67926","77983","71107","47412","106214","70013",NA,"227075","41959","119844","71511","48228","121473","123789","49700","49184","62150"
"181","398.186@3.2899995",NA,"7511","12865","14532","10700","13456",NA,"9011","8237","12618","5034","8127","16262",NA,"13225","14866","11622","10437","8859","12079","12184","14896","7930","8021","11670","9425","17931","8908","11190","13198","15509","7644","8154","19956","5715","9479",NA,"7685","16055","11807","16784","9081","8087","16439","17182","8628","8307","9915"
"182","901.5109@9.82399","314118","464401","474692","525483","481490","474126","321185","453706",NA,"486645","295216","528303",NA,"460951",NA,"443176","490908","313842","464681",NA,"482035","487468","338046","488915","455444","455369","486107","496643","475526","354304","450705","489776",NA,"487255","291114","505912","469189","477909","497394","480482","343206","435987","317562","445064","438870","518071","484010","143840"
"183","569.2731@5.4070044","10030","7211","11187","6242","8558","10203",NA,"2954","9638","8975","8685","10436","6588",NA,"7844","4986","13325","6486",NA,"10537","6468","7731","9202","10846","9441",NA,"7222","11570","4106","6461","4613","4296","13105",NA,NA,"8749","5119","10006",NA,"9951","25938","3696","4225","10658","3203","13242","6847","8146"
"184","124.0888@3.7820032","27076","6793","5198","1723","4906","4667","7311","7539","6480",NA,"1823","4901","7712","4881","2000","4287","4481","6277","3228","7105","4552","4181","14260","8176","19215","1931",NA,"8156","6704","3859","4319","2772","3413","7582","7034","6618","3255","3846","2062","3381","6593","6779","5090","5741","7875","10508","5739","10003"
"185","445.1011@6.030004","9937","19650","25393","16893","22588","17015","18812","15510","8465","22624","30055","30096","27124","26473","21218","44253","42339","8823","11311","18324","10293","20558","14360",NA,"27951","22895",NA,"27488","22100",NA,"19057",NA,"18234","11414","8990","11905","12359","14459",NA,"26778","25611","37921","6111","17894","28983","11557","8705","11296"
"186","557.3324@5.160003",NA,"4371","4897","5702","6342",NA,"4928","3893","3503","6095","5080","4986","6630","3640","5674","2676","7409","3460","3823","4828","4035","4088","8633","3053","5226","6587","7132","7956","5428","3039","3970","3553","4931","6633","5995",NA,"5426","3487","4868","1817","6630","3523","4045","5098","4418","4656","8007","4480"
"187","579.3175@4.516999","53958","100715","89167","121666",NA,"133808","71369","90671","92601","232724",NA,"180216","190671","51993","101134","65783","97852","35500","83325","107278",NA,"113781","151136","80852","139945",NA,"48067",NA,"77999","90092","100806","77308",NA,"109570","34296","92337","31478","37036","261797","45771","90526","165267",NA,"119508","206461","66989","36138","30462"
"188","127.0111@0.23900019","7546","8140","4719","6410","4403","3350","3845","3442","4056","3167","3606","4330","5930","3928","6181",NA,"3091","2135",NA,"7571","7551","4701","3152",NA,NA,"5553","4247","5454","7912",NA,"3851","2788","2955",NA,"5178","5866","5123","4364","7906","5206",NA,"3534","3482","6466","3648","3453","3058","6309"
"189","677.4261@6.7570004","8367","9152","13126","8098",NA,NA,"12602","9681",NA,"17419",NA,"27531",NA,"7091","8744","16199","14837",NA,NA,"16138","6823","8243","19227","9650","15131","15758","9922","8798","21933","8750","9980",NA,"8028","5722","2312","9749","4783","4270","14102","6496","8638",NA,"2996","17787","20821","1996","8040","3915"
"190","505.3171@5.5079975","394819","563182","501137","395450","437053","464979","373856","427678","442416","544514","522089","462673","520474","470795","657277","380161","559653","446682","403009","443676","601337","520829","573050","330761","531589","477472","371890","448638",NA,"306642","501303","359406","422765","752250",NA,"307731","472388","455915","805340","437713","605016","416627","374958","476679","507399","637762","369411",NA
"191","755.5083@7.4840045","5745","5949","21131","9051","4929",NA,"7223","10610","4112","8949","9386","12407","34777","11972","21541",NA,"16321","10180",NA,"14031",NA,"32660","9148","11138","10207","35413","17950","23894","7564","11877","14694","13442","7234","5678","8454","8543","8668","10469","19420","16828","11936","33396","8101","25218","39288","13855","6059","5004"
"192","791.6083@10.197999","21203","17884","16035","19690","12887","12971","26860","22419","17359","8804","14543","14649","21503","18558","18410","14359","16420","12332","15872","18317","15696","15971","15587","20490","18210","20492","11002",NA,"12780","14998","16087","19229","15899","11862","13359","18467","18317","19243","19542","11109","7477","16355","15386","18576","16739","14604","14671","22502"
"193","517.297@4.4979944","13780","28208","12570","12290","8823","16909","15807","10780","12013","15012","10545",NA,"10495","16971","19953","14641","12315","11917","14356","20612",NA,"19960","16113","5944","14525",NA,"11005","26080","11329","18163","17628",NA,"8890","57789","12590","24934","18121","13100","17973",NA,"35478","16208","17136","20949","10551","26932","6924","4905"
"194","182.0945@5.1040034","6888","8091",NA,"8729","11065","9549","11902","6500","5564","13397","13704","10542","24561","6056","8096",NA,"12990","2170","6713","7091","4775","8622","10601","8906","13640","19770","10503",NA,"13126","13113","11827","9271","10674","12678","2688","9255","6673","4595","25176","9746","12751","14319","4513","12979","21993","5266","5317","4387"
"195","991.4827@9.463993","139559","124864","132079","104678","116477","96599","93305",NA,"125027","62435","103262","74015","72599","109481","117365","53885",NA,"125362","129988","127027","137515",NA,"121575","92146","97268",NA,NA,"128234","102967","91443","46106","86151","123333","133646","123020","99783","131784","114084","62459","96354","107984","69828",NA,"103313","62607","111202","139405","144567"
"196","968.5756@10.643996","41951","67277","67349","66446","58813","82973","58331","62332","67454","62837","60504","82014","70290","61781","35596","63597","52222","73001","75570","57909","65569","64979","65296","55007","59702","63371","65386","69937","62523","68170","74844","65591","71637","56712","58431","71317","80171","74591","77843","60894","55606","66284","62657","59189","58217",NA,"72677","70279"
"197","270.2191@6.460003","5750","2870","6003","3717","3555","6458","6341",NA,"8655","10966","4925",NA,"8400","2060","4692","5840","7021",NA,"4706","4728",NA,"3329","8055","3136","7107","7209","4515","5026","6287","3446","6452","4607","5709","6731","2535","4760","2113","7063","4763",NA,"10982","4730",NA,"8167","3943","870","3241","2339"
"198","296.9508@4.5469975","2933","6482","5328","3336","1700","1733","4645","5608","1439",NA,"4702","4596","6680","6290","5926","10242","17897","1441","4172","6463",NA,"10110","3178","6395","8051","7344","8212","5978","5398","3519",NA,NA,"2297","4966",NA,NA,"4684","5401","9890","10663","16580","7446","3535","6540","5913","8258","2614","5752"
"199","497.3106@5.2399964","9259","6752","6784","8096","9573","5435","6791","8177","7075","8834","6912","9008","6948","6253","8067","4834","7005","5313","6999","8800",NA,"5198","12622","4794","5207","8355",NA,"8665","8846",NA,"7347","6068","10390","10755",NA,"8419","5838","5627","7171","4197",NA,"5426",NA,"7407","4888","6741","10464","8486"
"200","954.4607@8.228008","34797","17123",NA,"24266","19892","17041","21983","20017","22233","13931",NA,"14935","19449","15502","20528","14219","16239","16740","22796","27691","18456",NA,"19854","14477","17675","15321","12977",NA,"20384","17413","13891","17251","21515","19818","22343",NA,"23729","17788","11058","16473","20419",NA,"23592","23414","13665","22875",NA,"30189"
"201","326.208@3.6659958","5050","27434","29511","23107","53106","31266","5316",NA,"5702","24452","82249","24288","18128",NA,"10493","4264","13236","7244","16852","11592",NA,"9683","22406","24395","18565","29084","24054","12456","18518","32372","28150","7642","10615",NA,"6979","14882","3987","5637","7119","3457","8756","9873","4420","30142","14868","6029","9743","4387"
"202","366.2765@6.333006","14455","18760","11151","20615","12819","20046","12661","18723","5969","12203","14823","14435","16179","9937","40981","15742","8263","13174","16289","11479","22941","25277","10404","7693","12344","15464","6816","24394","14006",NA,"10083",NA,"6526","19302","18947","14934","11283","14864","27181",NA,NA,"11226",NA,"5991","21749","19029","16055","11386"
"203","134.0732@2.6959996","12384","14526","13688","18448","25668","14541","7055","8072","9339","14312","24901","18860","5516","5327","6119","8456","18698",NA,"4452","28250","9337","17271","10628","30262","17701",NA,"13365","21658","15253",NA,NA,NA,"6507","25438","15735","8171","2788","22303","20073","5811","18155","6055","4979","10908","8050","14029","7714","15257"
"204","322.2491@5.8020015",NA,"12526","9330",NA,"14021",NA,"11048","3966","5749","11254","18212","22477","11599",NA,"4692","8463","13394","2556","8620","6030","6186","9343","8502","10979",NA,"15096","10759","6190","79704","18527","8915","5248","7633","7853",NA,NA,"2381","2994","9253","4674","5959","12272","2020","10235","4476","2264",NA,"3261"
"205","819.5548@10.00201","140729","181586","174380","285486","267564","120954","226460","98947","251453","104655","263214","270070","227150","216245","130771","200657","269037","120259","162825","223933","296620",NA,"141319",NA,"125877","128364","204056","150738","152824","58741","133379","135092","278839","144264","176252","235941","185344","286362","119734","129318","253299",NA,NA,"218413","94065","236238","160835","255904"
"206","989.5745@7.882004","34434","54685","90755","41346",NA,NA,NA,NA,"52357","25241","45425","13492",NA,"35378","31430","39283","76414","25891","45610","52271","56568","29561","47425","38586","32288","57616","79326","59228","90896",NA,"50062","32839","64831","37886","36926","47546","46872","50328","61891","53170","89481","35021","39700","72628","48169","32774","46711","39825"
"207","967.5728@10.646989","NaN","54316","62358","52686","48535","46699","71652","81936","89048",NA,"NaN","66012","57596",NA,"70281","63491","60795","57012","95443","58140","68925","95871","74666","56276","NaN","72738","74136","66289","57971","57482",NA,"68872","64284","50263","58152","83961","56944","59836","90067","52655","54603",NA,"55145","53316","94707","33516","61686","62437"
"208","179.8665@0.23900019","24374",NA,"19766","21875","21446","20820","25432","23540","21242","17406","21754","22589",NA,"26556",NA,"22861","21848","22231","20936","21700","19691","27769","23932","19278","18908","22809","24467","21338","21986","21176","21429","21302","24825","22859","20993","21393","23975","27131","21887","21722","20264","23371","20020","22763","19778","18834","25518","24325"
"209","695.4326@6.079996","NaN","6754","6140","8587",NA,"8639","6947","3039","6996","20055","9660","9371","14543","4366","6394","5216","7205","1938","5037","9305","6840","8090","7685","5003","5330","7832","4062","8505","4978","5203","4050","3838","6443","4322","NaN","5579","1778","3592","9615","1912","4560","5553","3180","6923","10475","1450","2404","NaN"
"210","767.3652@6.637001","4871","6680",NA,"11528","8238","9195","7594","7035","8367","23277","7493","21193","12711","4188","6057","5726",NA,"3427","6441","11346","7676","9910","11714",NA,"7918","11918","3976","6997","10141","6778","6222","7211","6094","6440","NaN","10049","2314","3570","14041","2942","5546","8768","2346","9711","10860",NA,"4237","2509"
"211","288.2089@5.067995","22232","57571",NA,"51763","86377",NA,"69949","43919","26303","70009",NA,"42291","157323","59554",NA,"87438","105881","24200","36253","46501","35413","49278",NA,"63257","94188","107123","122821","73015","105155","108360","69196","65618","63616","76758","28216","62690","46342","60797","126466","87451",NA,"81634","45805","90392","101457",NA,"63978","56294"
"212","839.6023@10.713009","17601","20775","16036",NA,"14636","12606","13438",NA,"14161",NA,"10469","8915","15362",NA,"43268","19169",NA,NA,"21168","25831",NA,"13928","13150","12110","8798",NA,"13968","26457",NA,"8445","13092",NA,"12691","14444","21779","8777","33720","28502","17053","21940","20119","13635","21755","16637","15077","13054","21454","22964"
"213","334.2143@3.5","4557","38631","3505","595","5374","NaN","9984","122817","NaN","NaN","584",NA,"2626","NaN","1570","3802",NA,"1026","NaN","9974","NaN","861","NaN","1517","4986","26440","1939","NaN","13311",NA,NA,"22974","NaN","NaN","6163","1505","10727","5267","838","820","3249",NA,"NaN","5973","815","NaN","NaN","560"
"214","480.2926@6.1109986","27975","13679","24684","22166","15319","12577","26733","11461","13636","16511","8963","14269","23835","14333","15915","13002","25894","16979","24940","24799","19271","14828","9252","13747","30532",NA,"39698",NA,"13968","11557","27408","11444","20496","18647","10489","14065","27802","16453","13478",NA,"33794","13433","22230","23444","25340","17870",NA,"22628"
"215","505.317@5.406004","76115","106482","91550",NA,"81053","80280","63106","72422","78763","88191","99317","82225",NA,"81450",NA,"69597","96523","79618","69684","80985","97850","84833","93063",NA,NA,"78429","61620","83371","61576",NA,NA,"65105","75996","130658","65200","55112",NA,NA,"147243","75580","106855","69007","71361","84514","82330","120352","65183","77628"
"216","709.4328@7.598006","10032","4115","6594","12079","7716","7109","7942",NA,"5247",NA,"3463","8540",NA,"8472","6699","5720","8639","5393","6201","6745","3800","5377","11382","7982",NA,NA,"8836","10141","9499","10824","5719","13035","5898","5986","7012",NA,NA,"13309","4717","5449","5365","7224","7377","5159","3295","10641","13136","7066"
"217","995.4804@9.638","36638","42629","34815",NA,"37374","36224","38143","34329","36723","33577","16862",NA,"39082",NA,"40886","36399","43975","38526","42653","38352","25243","41155","42337","42890","37117","39116","39199","37910","37843","36541","40174","41667",NA,"39609","40184","42096","32740","41764","34654","45487","23431","40124","44699","40595","36086","38214","37757","31258"
"218","621.3283@3.907003","27198","30890","35173","31455","43496","45154","47746","30849","33508","60322","25929","42954","88856",NA,"44872","44470","43348",NA,"27997","37503","29960","43597","42754","34136","36786","70256","30600",NA,NA,"28408",NA,NA,"35493",NA,"4442","29879","19875","15402",NA,"29509","36709","82344","11058","41149","78449","11740","11281","7408"
"219","652.6529@0.23399985","8161","7385","6184","3769","5827","5247",NA,"4190","5052","5891",NA,NA,"4555","5850","7415","6948","6139",NA,"4703",NA,"4839","6105","3875","4568","5347","7759","5087","5288","5287","6373","6184",NA,"4604",NA,NA,NA,"4237","6363","7004","6003","6418","4226","5344","6674","4525","4669","4651","5965"
"220","430.1669@2.2420003","5006","3718","6539","800","1698","NaN","7915","11594","NaN","NaN",NA,"2013","1939","NaN","984","1100","10604","1304","212","12221","302","NaN","977","NaN","8604","4481","NaN",NA,"3958","3883","10365","3890",NA,"279","6514","718",NA,"3733","1037","194","4234","2078","NaN",NA,"189","1283","1037",NA
"221","847.5619@10.340012","89677",NA,"69593",NA,"64098","68636","75102","70362","77433","72887","71197","60380",NA,NA,"86003","69952","81282","72610","73629","71536","76779","58070","75908","68662","76624","66628","81617","68357","75683","64506","64452","75247","77142","73212","68161","56914","56726",NA,"72735","79342","74971","71775","81250","65572","71502",NA,"66453",NA
"222","861.5688@7.340006","130529","157664","212748","208165","216390","226122","289461",NA,"299328","204402","200310","369348","270503","122260","185797","274892","172778","78591","193849","184192","153329","218048","148538","176872","162570",NA,"201191","241579","170454","193439","217740","206984","217685","89150","68681","201712","120006","115824","416406","195076","217998","212994",NA,"187710","226883","105500","127300","65177"
"223","865.6175@10.156005","52428","30108","21854","15754","28165",NA,"36292","36354","24736","10857","17728","15528",NA,"25370","56208",NA,"24708","44521",NA,"54568","40205","15270",NA,NA,"17253","14903",NA,"28488","20548","15976","19341","26873","25254","35219","36094","25229",NA,"40527","22013","21271","29715","17773","45601","25527","18078","23085","38064","31899"
"224","989.5544@9.937992","43381","14977","20615","9103","25115","17006","20045","21941","20052",NA,"19300","10586","14229","14413",NA,NA,"13428","25698","21801","25007","16540","12865","23331",NA,NA,"10409","18387","17416","26392","12861",NA,"13386","26649","29398","19237","14934","26008","16476","5393",NA,"22602","14083","24555","25434","5499","13025","20755","25459"
"225","579.3174@4.631004","15744","36444","26524","50853","40416","40224","22400","30911","29034","96867","40505","64221",NA,NA,"23018","28401",NA,"10633","24640","37801","30481","37477","68038","33543",NA,"75617","18572","26717","37171","32605","43501","29264",NA,"37742",NA,"34358","8529","14911","99079","13076","34250","59931","9111","55314","79218","14547","12997","7331"
"226","367.1523@1.7799996",NA,"NaN","NaN","178","NaN","NaN","NaN","NaN","NaN","NaN","NaN",NA,NA,"352","NaN","478",NA,NA,"NaN",NA,"NaN","NaN","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","17214","NaN","NaN","NaN","NaN","4175","NaN","NaN",NA,"NaN","62446"
"227","593.786@4.5480022",NA,"7171","9658","2602","4151","2740",NA,"6047","3848","4101","6422","6337","6892","5920","7033","9654","17587","2918","2938","7168","4877","13507","3638","8733","7530","5477","10334","5193","4736","7048","4823","5260","4709",NA,"1319","5700","6268","7253","9012","10636","14727","4962","5930","6810","6483","9796",NA,"4451"
"228","495.295@6.643004","2006","4443","8428","5533","10396","2994","4931","1153","4196","8717","10115","10560",NA,"3112","2294","3968","9994","3165",NA,"2387","2131","3727",NA,"2485","7837","6670","10594","11475","7380","9363","8707","5270",NA,"5130","4543","3279","4522",NA,"3666","4230","14518","2871",NA,NA,"2643","4347","5617","882"
"229","825.5304@7.864994","26686","21302","41003","20356","19674","40449","35150","27361","38068","78740","25539","8792",NA,"20612","14648","21177","48424",NA,"32434","36984","31473","48884","32100","31685","39308","57741",NA,"31673","37348","52226","21631","26712","40367","46096","8365","48510","16807","27201","52232",NA,"44479","37799","17276","34082",NA,NA,NA,"17300"
"230","581.333@4.372995","178320",NA,"23879","37501","27229","469098","19383","15412","25881","39467","30156",NA,"41288","195567","12651",NA,"34824","116287","22945","13226","11321","32618","38459","26670","454286","34508","171143","27284","7530","26205","19309","10986","11904","25561","46159","22044","115115","118037",NA,"161826","22840","34348",NA,"38394",NA,"18902","113650","94240"
"231","540.2576@3.1540012","41290","34864","41213","68834","36839","29550","30531","32087","35572","23678","50234","31521","34748","29783","49512","20715","31942","13737","27788","35675","30496",NA,"41224","39104",NA,"31443","41042","56882","38405","33486","30848","34428","53121","29316",NA,"40845","39856","30857","20008","25174",NA,"27050",NA,"26524",NA,"19531",NA,"58221"
"232","476.3674@10.340012",NA,"21900","19253","14573","14386",NA,"14511","7386","16725","12578","31242","6777","19809","9073","8627","10265","28615","5696","16996","26717","20884",NA,NA,"23877","23042","7020","7784","20264","14981",NA,"3113","13742","19814","30684","18923","7461","15942",NA,"11768","10026","35309","8399","7049","23816","4668",NA,"15737","19721"
"233","346.1536@3.596","5155","1915","12682","7104",NA,"7927","20277","3249","4713","21136","2313",NA,"7068","10176","8018","11914",NA,"1378","16137","7301","8795","4889","11093","2692",NA,"10251","11429",NA,"5265","12391",NA,"10924","6460","15317","1248","22608","1614","10260","18866",NA,"5151","10964","5389","17364","12352",NA,"8010","6638"
"234","416.2227@3.7709968","3101","13260","3011","13603","5039","8875","5562","16469","2228","4557","2761",NA,"2698","3841",NA,"5033","5276","2879","2437","4276","8273",NA,"1725","2712","2037","10694","3517","15009","4992","5455","5531","10159","NaN","12762","2833","7507","1817","1140","4384","3512","3722","3214","7114","1680","4164","2262","1323","2975"
"235","503.301@5.204994","10716","13581","15591","8748","20190","14572","8105",NA,"13531","13562","30328","12313","12950","12149","21726",NA,"30167","14415","7961","14495","17687","18507","13199","9753","30312","13270","13826","9425","10003",NA,"23679",NA,"15656","26288","19120",NA,"19234","13648","13106","16642","24075","9318",NA,"18525","10162","24100","9979","9739"
"236","914.5057@9.018004","46725","54822","39333","53249","43699","35555","51577","37358","42195","128355",NA,"32086","52924",NA,"40637","42138","44102","33800","63086","57074","40483",NA,"41141","46835","37385","33256","32890","63403",NA,"32188","30028","119615","52741","152675","50329","32080","52020","46328","29535","51426","41619","32227","46240",NA,"111131","42631","115030","53798"
"237","297.0107@4.545997","3558","6935","9311","2705",NA,"3261","4356","6582","2460",NA,"6142","4942",NA,"8434","8176","7645","17771","2958","4715","6434","5735","11397","3322","4903",NA,"6331","9192","5229",NA,"4823","5061","6046","2445","4934","2355","7386","5772","7210","12094","6847","17977","6430","3459","11303","3119",NA,NA,"5265"
"238","861.5278@9.830995","30670","47221","54662","29089","57220","71327","72093","76614",NA,"61063","35732","58918","58203","44583","57663","63025","45044",NA,"60788","59793","42046","84210","73564","49663","44390","79034","71680","45470","48745","49871","78786","51177","61616","33119","27712","81548","38675","44974","53566","65773","47591","53084",NA,"43346","73601","39106","56646","40358"
"239","925.5011@6.692995","NaN","30358","20857","32641","20580","37344","22661","27308","31514","76625","31299","152974","53613","19098","30069","21544","NaN","15763","29713","39648","39887","26108","28569","21307","22287","31148","19514","NaN","25594",NA,NA,"27195",NA,"26786","6644","40248",NA,"13423","44661","15110","21237","25967","12173","35189","37542","15247","9941","7607"
"240","877.5671@8.101994","270496","376618","365166","248888",NA,"329493","254791","124515","340274","1349656","310251","85892","649867","310902","248131","305744","528307",NA,"257978",NA,"762233","302115","487841","463784","463148","439420",NA,"439286","551431","522322","392827",NA,"324317","617764","247468","598034","270682","314935","583594","301736","573624","275880","249893","402880","646117","376054","463736","448059"
"241","703.519@0.23600005",NA,"8660","11943","10887","11141","8217","10406","8122","8486","10876","11436","9254","9595","8408","9892","8126","9167","8536","10903","8281",NA,NA,"11394","8751",NA,"10950","11255","8276",NA,"9603","12199","11359","9418","11533","8829","10864","10002","11112","10100","12070",NA,"9462","9386","9143","7319","9600","11879","12085"
"242","913.5753@8.992995",NA,"18307","18453","32556",NA,"31452",NA,"20883","19485",NA,"26547","40186","47058","17154",NA,"16453","18608","7133","17970",NA,"19159","16471","27836","18642","19117",NA,"7285","25972",NA,"24810","22929","14402","20548","17586","1071","25799","2403",NA,NA,"1389","2952","26027","3037","33503","34050","5807","3787",NA
"243","577.2945@5.2210026","22515","9768","12551","4913","10648","6630","4867","16709","9969","7805","14121","6396","8104","6814","10639","6307","13066","16364",NA,"9477","6129","5513","17442","8582","28746","4500","7439","5270","8672","4440","8825","5274","12705","25222","9885","5004","9405","6861",NA,"8270","17491","7483","7090","14085","4169","7800",NA,"14149"
"244","569.2693@5.4819965","16556",NA,"3516","3379","4596","9755","3357","2506","4333","10060","3505","17069","4243","3538","3773","4135","4109","2063","12138","13075",NA,"4051","4146","8293",NA,"4010","3390","3831","3042","2736","3449","2645","5205","4278","3766",NA,"3979","3773","3797","4988","11890","3341","1866","3826","3198","5108","3461",NA
"245","873.4806@9.023006","111932","51790","88507","111378","99798","67737","89204","108299","99490","52812","100934","65673","127615","80188","96305","115759","97248","73373","90234","109540","75705","56604","84898","94440","72933","78284",NA,"126521",NA,"68266","56292","75011","100521","79313","103502","63553","122096","78771","93711","75367","104352","22170","91278","91728","89977","98587","82924","114832"
"246","809.5589@9.39001","272056","111564",NA,"55750","66238","62506","46220","79007","80372","25220","75305","46235","51403",NA,"90255","31096","80567","144070","84229","118326","102354","59426","111486","36959","124228","28300","53393","114177","57856","43304","60159","44327","93072","141573",NA,"57792","89292","89248","36038","65189","102751",NA,"78454",NA,"32917",NA,"99452","133498"
"247","456.255@4.9559956","2167","3505","2096","5099","8118","1582","808","1545","10128","1047","1232","10079","1364","173","3976","1568","5072","2424","5393","3777","1719","1475",NA,"15966","1719","3070","2571","13732","23986","1503","2600","1666","2346","9959","614","11439","2767",NA,"1704","2602","2224","9314","19157","1828","2912","3359","3047","1134"
"248","338.2453@5.283997","12970","35808","28321","44040","38725","22362","49089",NA,"34441","40878","42477","39828","53151","19043","47800","45232","43759","11605","18576","43658","20558","49393","13822","27065","15602","50913","25502","27318","27528","34311","55166","26676","37369","16283","10378","13180","20879","14927","67344","28976","41986","27775","13025","24258","28406","20079",NA,"8106"
"249","507.3326@5.8699965","427519","630391",NA,"363811","556902","430106","382572","436984","430348",NA,"521028",NA,"475985","448963","530055","468868","627800","342833","333076","500720","528574","504450","609986","439560","495597",NA,"330833",NA,"372836","35740","540796","281090","440362","746101",NA,"26416","508143","419385","596488","434140",NA,"374302","317456",NA,"432200","576069","383652","398684"
"250","492.29@5.906004","10134","11171","6713","5804","3847",NA,"6817",NA,"4336","2884","11215","3288",NA,"9421","13227",NA,"7308","4671","7026","5862","13152","17296","6697","2825",NA,NA,"5874","4825","5455","3011","4864","4712",NA,NA,"13864",NA,"4813","6845","13920","6428","3845","12654",NA,"5267","8048","4407","6248","2754"
"251","907.5903@10.112","48045","62727","66275","60137",NA,"63134","65183","74579","53088","25487","59233","36405",NA,"40859","114836","41615","52403",NA,"77965","64763","84526","65375","50598","31584","31634","51324",NA,"63252","50477","36541","42692",NA,NA,"61118","66055","43165","111343","73992","76329","57393",NA,"32447","66773","30931","31120","66613","62630","62894"
"252","324.2661@6.243","4786","8907","9248","12187",NA,"7966","6457","3717","4397","9786","7095","12462","6505","3334","4046","3616","7049",NA,"4154","6370","5014","6940",NA,"6210","6308",NA,"6879","6944","5749","10476","6344","5696","6484","6518","1901","4210","2107","2609","8473","2093","3717","9840","2360","8494","6547","2768","3687","2361"
"253","895.5895@9.0","74426","66844","123310","47100","120910","81634","85821","95127","53069","83943",NA,"111562","85101","139228","63127","111899","124506","73462","91551","71103","95556","79369","122622","72857","24703","55538","115411","107090","29505","53313","77730",NA,"90972","93024","73888","79852","12322",NA,"82591","104890",NA,"88587","102981","118272",NA,"95056","92919","109901"
"254","481.2802@6.592998",NA,NA,"6053","5504",NA,"3330","9121",NA,"7238","15109","15933","5367","11445","3465","1974","3359","12748","1792","4336","5370","4016","5756","13277","6555",NA,"10091",NA,"3399","11971","6908","8701","1625","11729","8358","1001","2906","1060","4037","4207","2381","8538","6235","1099","8365","4894","1197","4736","1605"
