"","Compound","EA_138_P(raw)","EA_171_P(raw)","EA_182_P(raw)","EA_263_P(raw)","EA_287_P(raw)","EA_39_P(raw)","EA_452_P(raw)","EA_53_P(raw)","EA_535_P(raw)","EA_548_P(raw)","EA_573_P(raw)","EA_579_P(raw)","EA_591_P(raw)","EA_617_P(raw)","EA_62_P(raw)","EA_629_P(raw)","EA_630_P(raw)","EA_65_P(raw)","EA_740_P(raw)","EA_79_P(raw)","EA_90_P(raw)","EA_965_P(raw)","EA_966_P(raw)","EA_994_P(raw)","EA_138_P_2(raw)","EA_171_P_2(raw)","EA_182_P_2(raw)","EA_263_P_2(raw)","EA_287_P_2(raw)","EA_39_P_2(raw)","EA_452_P_2(raw)","EA_53_P_2(raw)","EA_535_P_2(raw)","EA_548_P_2(raw)","EA_573_P_2(raw)","EA_579_P_2(raw)","EA_591_P_2(raw)","EA_617_P_2(raw)","EA_62_P_2(raw)","EA_629_P_2(raw)","EA_630_P_2(raw)","EA_65_P_2(raw)","EA_740_P_2(raw)","EA_79_P_2(raw)","EA_90_P_2(raw)","EA_965_P_2(raw)","EA_966_P_2(raw)","EA_994_P_2(raw)"
"1189","899.5856@10.611007",NA,"562673","588296",NA,"551277","583814","430340","511956","543712","515893","573402","540436","586681","526667","559068","446727","386770",NA,"552724","562286","578152","461111","576159","556674","505273","474171","558293","639686","545323","574725",NA,"529322",NA,"578607","591742","564935","582598","552351","553224","536550","541048",NA,NA,"560186","492018","622248","567054",NA
"1190","881.6128@10.48901","78982","61598","84776","53569","75519","36609","60446","44523","72147","15896","93173","36002","49991","54771","61236","37218","38607","101978","66665","104702","76794",NA,"45719","32249","46298","24172","51217","53278",NA,"37650","56325","44276","110694","55982","114115","36979",NA,"72896","24765","71323","64610","50748","76974","72524","31274","44548","57099","74654"
"1191","791.4347@0.23399988","42368","37197","38395","28223","33726","40641","33875","40533","39330","33940","36618","36274","39622",NA,"37270","34752","32730","37744",NA,"34765","31897","37133","40786","38529","35131","36699","37699",NA,"35272","34426","34961","39010",NA,"36828","34649","41003","38269","38897","36368","36627","39270","37224","33762","32412","33564","35771","39779",NA
"1192","829.5825@9.883987","1161545","813471","991408","960451","864825","834937","2680239","897405","702062","763591","937994","679014","1137917","806089","1139517",NA,"867080","846959","676873","853774","1153425","601266","742713","831171","1125499","595272","751210","1217048","959772",NA,"825969","721210","726495","1207570","1070064","732070","1332078","790705","1221442","841713","994762","536280","833763",NA,"1119908","1445201","1032879",NA
"1193","820.4664@8.080995","113543","64168","55735","60083","70672",NA,"79478","64312","76325","41628","77274","60636","53274","63635","47827","39506","69007","65028","61368","72921","57640","44936","72825","61368","79927","46620","54697","54057","60118","51457","56008","69550","78620","62017","72880","64514","73054","70251","38798","48460","73752","59318","66697","57641",NA,"67857",NA,"86756"
"1194","898.638@10.879013","124415","82865","53788","61689","85160",NA,"88656","83708","73695","56627","68551","53364","82829","62284","75199","77399","89087","58096","68767","89500","67869","54185","71080","85603","90572","73114","44576","65316","84636","48635",NA,"78355","80786","64584","55632","56641","77872","62818","73997","66696",NA,"60649","64522","81835","49138","57040","55010","107822"
"1195","324.1736@4.2200007","47937","111185","13763","73695","41798","109069","69285","136401","19032","51827","37639","65687","7666",NA,"114810","38263","77577","38026","33944","28261","79393","147799",NA,"4922","52142","128509","98664","93396","34097","72569",NA,"98857","18193","86024","9788","3357","40436","37552","10735","49936","84616","4240","40678","6817","68714","31438","9320","4413"
"1196","907.4868@7.981996","259430","321873","331119","298435","296935","369739","365415","252705","466391",NA,"410390","40957","429588",NA,NA,"264587","478393","158727","311161","380042","422496","403531","420499","359973","373889","503945","363967","420456","475837","460348","310718","363735","420608",NA,"117954","489629","211586","347475","462060","297318","440191","279289","271739","432185",NA,"281039","372960","240567"
"1197","837.5614@8.005996","3156543","3120995","3807696","4640679","3641243","4642819","3751492","4063879","3833327","5307182","4286703","5994480","5726521","3175951","4057205","3805143","4175263",NA,"3545282","3879130","4314578","4271044","4110364","4046357","4773064","5293801","3178334","4961232","3598948","4378496","3233253","4250928","3750570","4003987","1335692","4475765","2232093","2554066","6286146","2925203","3905282",NA,"2234345","4392373","5536063","3289153","2574703","2040401"
"1198","510.2475@3.964997","7097","71488","4291","66680","79666",NA,"66298","85507","38554","78696","67109","128068","47624","78365","91585","70722","67134","53772","60981","101640",NA,NA,"59144","64111","59642",NA,"51256","110377","14084","69794",NA,"73283","36799","109598","50430","136951","74533","77841","92752","88688","92534","60790","80016","74172","86923","113909","69614","65906"
