"","Compound","CR_1(raw)","CR_10(raw)","CR_100(raw)","CR_101(raw)","CR_103(raw)","CR_104(raw)","CR_105(raw)","CR_11(raw)","CR_18(raw)","CR_19(raw)","CR_20(raw)","CR_22(raw)","CR_23(raw)","CR_27(raw)","CR_28(raw)","CR_3(raw)","CR_32(raw)","CR_35(raw)","CR_36(raw)","CR_37(raw)","CR_38(raw)","CR_4(raw)","CR_40(raw)","CR_41(raw)","CR_42(raw)","CR_44(raw)","CR_49(raw)","CR_5(raw)","CR_51(raw)","CR_53(raw)","CR_57(raw)","CR_59(raw)","CR_6(raw)","CR_64(raw)","CR_65(raw)","CR_7(raw)","CR_83(raw)","CR_85(raw)","CR_87(raw)","CR_91(raw)","CR_92(raw)","CR_93(raw)","CR_95(raw)","CR_99(raw)","NR_106(raw)","NR_111(raw)","NR_112(raw)","NR_12(raw)","NR_13(raw)","NR_14(raw)","NR_15(raw)","NR_16(raw)","NR_17(raw)","NR_2(raw)","NR_21(raw)","NR_25(raw)","NR_30(raw)","NR_31(raw)","NR_33(raw)","NR_34(raw)","NR_39(raw)","NR_43(raw)","NR_46(raw)","NR_47(raw)","NR_48(raw)","NR_50(raw)","NR_55(raw)","NR_56(raw)","NR_63(raw)","NR_66(raw)","NR_68(raw)","NR_69(raw)","NR_70(raw)","NR_8(raw)","NR_9(raw)","NR_96(raw)","NR_CR_24(raw)","NR_CR_26(raw)","NR_CR_29(raw)","NR_CR_45(raw)"
"196","541.3162@5.146534",88154,138843,91771,327633,223408,76564,60285.3347248608,103391,84126,NA,63496,NA,117916,60990,79858,60608.1605586082,NA,145450,90929,209938,66980,111162,61125,109201,62832,63090,77655,93930,47546,29951,NA,NA,32323,218630,40700,52735,115458,NA,52184,54227.4740711756,76781,58539,155938,100715,97728,282046,100944,76258,143090,176401,121070,52004,66169,177235,45391,47031,65710,113268,78654,251351,129534,42673,66504.5522003459,91733,72586,73296,117994,93710,NA,46597,76633,59283,145998,89699,59444.476060917,95016,133574,219538,65653,145700
"197","329.32922@5.1781917",1039486,434802,983691,1239159,1126415,1442674,990810,573878,676508,572914,924024,726785,979398,598235,901404,532142,570774,885728,472875,1543850,866969,1035232,658202,717568,1266723,905297,NA,687585,588413,1027698,NA,856732,494756,1357308,1841273,652145,785444,414841,831507,NA,670796,609619,NA,664446,950013,915764,1161421,384240,891056,709596,NA,729510,696281,812445,453047,879847,582786,711232,1559258,590975,856356,357493,946963,488314,612665,523578,669453,674798,1261181,835103,805791,680473,942800,969083,740206,848085,635256,876983,601670,690139
"198","493.31644@5.2008424",282245,326667,400522,278635,709060,230215,68659,523064,187758,76680,249698,159847,424419,146889,564937,204110,127827,438016,NA,392752,NA,132709,NA,411936,186840,383989,173215,256434,90539,224219,362375,303101,NA,469130,265686,126907,337962,281745,127840,184380,250545,209351,694548,370978,474851,198866,483980,319417,223031,122707,302810,139818,NA,440098,282978,70201,180400,177180,219512,332258,239553,184423,99063,427854,291939,296110,319859,386854,336959,203556,NA,300231,406104,NA,200918,350861,407667,496987,154525,NA
"199","431.2514@5.2023644",77593,84376,72429,68286,90833,72962,81676,84588,67340,74679,77061,67122,64314,69325,67916,NA,64885,70162,70781,82324,89832,60116,NA,67006,71490,87198,67133,74604,63201,69178,76008,94731,84495,76339,74395,70009,89973,86929,86490,78702,69679,77745,96437,75166,93101,85488,84072,71187,73172,82009,88568,67418,72355.0557932391,67973,62491,59879,81600,NA,76751,84346,84030,71130,61149,74914,55478,NA,74474,NA,82612,69808,75788,NA,85539,NA,83457,77933,85404,91781,73316,79931
"200","225.06078@5.205082",139792,69143.929888738,NA,93624,51349,68714,NA,60421.3104782922,195153,98968,53352,50226,61594.2662573593,68661,65814,64994,52486,88216,121923,62094,72026.4948918642,94295,56849,60109.0576009338,124452,74282.6858975769,83549,59010,75205,73106.4493591251,67254,59212,122567,89050,82126,57440,64826,68628.1797186772,91961,80928,49501,61754,74605,56595,71917.6822033067,69819.0984449673,NA,72872,94389,54700,61723.5014748194,99811,77876.9841423206,56742.7346093776,80571,58897.2404422417,106375,81990,84490,71719.1067755747,69457,87809.5229415925,67926,52039,81663,81980,179395,137893,103223,80212,93940,82635,NA,55161,41940,69291,89504,57237.5453702066,98373,63703
"201","499.26956@5.208836",36529,65047,46621,81339,126138,48414,37153.6392445431,59998,45133.8713571342,33014.6259892389,NA,71571,73895.0416787922,34284,49272,NA,40988,46490,49972,127353,39708,46815,43784.301548701,42964,NA,49262,58928,72071,28161,33370,73184,168510,NA,92211,58252.1388337418,36442.8731570501,50260,51436,26699,37325.1245617884,37867,27615,95741,81304,67253,350721,72249,68282.386492704,80114,NA,49469,27995,17996,NA,36244,41349.2302157635,26197,33903.1176049273,34861.5879434885,68973,58392,48163.256763413,51228.8418557408,NA,51472,40380,76726,46558,55354,49615.2151563721,35017,44158,60484,50470,39657.464912003,54624,66735,115134,NA,99684
"202","373.3552@5.2095757",409514,NA,321151,293625,373884,293220,421108,193742,206420,165227,345480,254862,366136,281449,321141,154592,166028,288220,131528,411219,287813,330556,223715,237492,390452,353380,139088,192557,168803,432751,260647,275169,155563,483069,609654,199417,232720,125950,NA,215114,209981,160896,201251,191699,351787,318313,425284,91648,152430,190003,153611,189981,181339,263050,134069,294288,120710,163961,550010,156903,269787,84994,316591,131651,126383,NA,261418,191190,508359,331862,NA,232563,412492,314421,263699,262915,167591,NA,182103,225467
"203","381.26385@5.2101154",105678,69430,60522.8860841141,43508,51600.5863964004,54571.6371229518,58722.2859348267,50017,46509,55722.1618404399,56011.6704402071,41707,58243,59600,48708,57628.8929834309,82973,NA,47905,57679,61580,42080,37631,106551,64789,71186.279492576,71882,81518,NA,40083,157575,123301,85664,78858,52163,NA,NA,32600,53292,56157.6658863548,30246,42717.6219465454,56608,69116.5387307447,32102,90518,34983,63866.6085034303,80419,47504,73194,67165.0797544509,25090,NA,66979.125066334,43431,73115,65225.3528836575,55384.8199155357,NA,54477,51017,60309.6644299705,41866,106203,58686.1509835129,NA,64284,NA,150755,90698,37798,77523,52291.6551696666,49607.0632927462,64266,101296,64472,62649,NA
"204","541.3168@5.234232",533011,851945,590805,1812634,1191343,511175,79726,749803,455229,105074,382742,473484,686537,316123,396489,108934,442055,933016,500862,1194940,398232,420078,316760,NA,285591,393446,465755,NA,237173,157811,614488,846504,175887,1161596,269930,NA,715490,560943,251604,142109,435223,312135,758879,NA,583171,1593430,642434,505950,866389,940486,721856,179456,233626,998249,214808,260161,310187,271234,389456,1282542,NA,247855,NA,531202,447405,388469,678049,583270,612801,258942,372693,NA,825874,391947,96733,507690,952967,1378241,NA,897887
"205","417.38162@5.237344",121769,52832.7274975353,68880,69600,88385,67273,100379,41997,48292,37922,84185,54294,90896,76066,80435,37599,NA,74466,38110,106423,62380,80261,57084,52436,87721,87185,33297,42197,37441,101745,NA,76602,34284,118247,144488,43259,47597,33571,44174,43555,45804,72077.1346595534,43907,64599.23921707,77852,81327,110734,89876.4816336286,54022.5742367915,59373.3028121746,33061,39427,35757,54003,34397,60190,65035.1245837149,34942,135737,27049,55171,68765.9436130118,NA,25582,66540.7253213261,36700,74092,36664,132214,NA,NA,65895,114479,64952,65351,66169,NA,79367,51822,52737
