"","Compound","CR_1(raw)","CR_10(raw)","CR_100(raw)","CR_101(raw)","CR_103(raw)","CR_104(raw)","CR_105(raw)","CR_11(raw)","CR_18(raw)","CR_19(raw)","CR_20(raw)","CR_22(raw)","CR_23(raw)","CR_27(raw)","CR_28(raw)","CR_3(raw)","CR_32(raw)","CR_35(raw)","CR_36(raw)","CR_37(raw)","CR_38(raw)","CR_4(raw)","CR_40(raw)","CR_41(raw)","CR_42(raw)","CR_44(raw)","CR_49(raw)","CR_5(raw)","CR_51(raw)","CR_53(raw)","CR_57(raw)","CR_59(raw)","CR_6(raw)","CR_64(raw)","CR_65(raw)","CR_7(raw)","CR_83(raw)","CR_85(raw)","CR_87(raw)","CR_91(raw)","CR_92(raw)","CR_93(raw)","CR_95(raw)","CR_99(raw)","NR_106(raw)","NR_111(raw)","NR_112(raw)","NR_12(raw)","NR_13(raw)","NR_14(raw)","NR_15(raw)","NR_16(raw)","NR_17(raw)","NR_2(raw)","NR_21(raw)","NR_25(raw)","NR_30(raw)","NR_31(raw)","NR_33(raw)","NR_34(raw)","NR_39(raw)","NR_43(raw)","NR_46(raw)","NR_47(raw)","NR_48(raw)","NR_50(raw)","NR_55(raw)","NR_56(raw)","NR_63(raw)","NR_66(raw)","NR_68(raw)","NR_69(raw)","NR_70(raw)","NR_8(raw)","NR_9(raw)","NR_96(raw)","NR_CR_24(raw)","NR_CR_26(raw)","NR_CR_29(raw)","NR_CR_45(raw)"
"389","375.31104@6.5899878",58373,79910,154728,57304,217175,71379,94466,231355,302603,NA,251605,92535,104976,293875,271450,186666,131123,91873,125061,139466,260143,260385,113584,127214,87724,68836,88790,68102,104275,210315,149488,249028,154566,193934,139094,220842,79848,236692,510704,157413,119421,112672,591651,67974,405940,110763,43761,228823,106932,86630,301339,358912,303119,43267,114888,102155,285134,150250,397888,169861,289256,145004,114294,164302,139584,148692,77830,69426,280453,184345,95870,124706,159953,117878,125362,109779,135756,297403,156469,117983
"390","262.22934@6.6082516",93680,172450,NA,161994,170986,97858,72695,87776,67637,66834,221025,196608,126012,143074.648385249,452909,121951,57809,222975,124313,133207,191229,89787,NA,103631,92572,270100,303133,NA,87253,125956,95376.1655725085,NA,187631,117724.065649609,89271.0516423679,79089,94133,72480,143491,84264,88655,86509,99295,131920,121200,206093,NA,96980.9721163844,190137,412427,198927,114217.913662346,123538,161196,83897.8404192095,145790,70125,79592.5063083538,NA,140961,379820,192567,135233,109473,NA,66766,NA,83708.4312929269,93210.1278856376,126223.99244055,101480.514148393,97412.1640237634,89765.0827048599,NA,54213,153630,75603,438749,83360.97336261,106323
"391","279.2562@6.6088157",1089604,1970585,1237156,1811084,1486104,NA,729937,NA,681848,557168,2664950,2044835,1041031,NA,4280274,972893,486623,2459305,1206570,1256677,1960544,741735,1015953,1021200,749095,951286,2675902,1487957,814716,1267073,119015,234199,2144622,NA,162365,725610,794238,NA,1068276,712105,799864,651029,852965,NA,1156172,2280725,1252492,89480,1633637,5020182,2240117,121449,882082,1270679,100534,1556975,614575,110091,262771,NA,4277665,1599633,1091743,1156734,NA,673381,1761083,124123,176911,101034,NA,105755,195926,486639,463751,1482351,688158,5270811,66702,1103642
"392","307.25113@6.6121078",NA,NA,65359,70833,44775.8021867229,42321,35706,43450.316008409,104312,51748.912556149,NA,51375.6967575402,43828,39258,43415,NA,50565,58737,70426,48514,28528,51395,35647,33513.2154433795,84274,45643.1186740662,60708,NA,52392,48139.9298231776,53510.9033036334,44267,58295,64106,56151.0220801922,55026.8536097123,52976.5418940291,44647.5698493761,59777,70872,31415,49257.7074436641,61413,42268.2223189481,25482,46872.2868201548,53211.6984102323,50559,81891,63261.1010817613,43776.8972832517,71855,50054.7144830159,37846.1886977842,47850,44712.1065752469,65100,NA,NA,50424,40153,53679,NA,50619,84204,52604.2648418287,NA,NA,58263,54822,50908,52833,54306.6632823094,NA,37824,41021,59787,NA,64113,NA
"393","274.25067@6.622424",179346,185097,NA,176365,118491,155638,165563,184019,NA,185868,139993,152361,162296,173635,NA,NA,156949,149759,161581,132134,161768,138352,162602,147244,170991,201824,154556,NA,145200,128797,145684,147901,182443,153725,169137,160019,163657,130687,200589,133026,147530,158342,151399,134366,155527,163911,121142,162227,178701,156386,194373,151570,201784,142580,159146,141000,157413,166074,167146,141958,197675,163209,182261,155595,152725,142773,155298,147531,164644,165732,163749,149550,186111,146217,194534,147111,154043,165380,148953,139225
"394","731.53894@6.6241636",25554.3672681228,26229.8774630172,26779,30496,25530.508432627,NA,33548.325328337,24113,30451.0625171437,26049.1886349383,26814.0651504127,24212,39369,25765,23773,28400.0252795001,NA,26714,26465.6717014225,23914.7033935134,25137.9496387355,24935,22594,27975,26847.9801721341,27772,25782,28953,31088,23643.1297952283,29192,24575,26858.9004856642,29170,26013.3619455067,21266,25687.1239450119,23877.7362283971,74710,26103,19926,22706,24195,23545,25036.6543829136,28498.9236826788,NA,27596.089629747,23948,31535.3372775331,25971.8419083243,31946,22397,32396,26963,59858,23828,25444,34381,NA,45619,23859,17866,NA,26045.8753217183,28086.8307108652,28178,25210.1759100961,33098,17108,17959,22816,NA,26625,26179.7662498132,19678,NA,28810,27650,25367
"395","537.37933@6.630139",87658,53490,43215,72617,NA,49886,29954.9857176501,74202,26194,20180,30512,53342,96729,43696,44536,34106.9889843939,NA,77780,NA,56566,98047,25515,47328,62078,28110,51326,37979,62669,32674.951065582,33493,87351,108574,39304,97619,NA,34015.5368168317,52058,97952,32888,NA,NA,44695.0950910973,85782,65814,129652,80645,72470,91959,41087,NA,37726,45247.4548229042,NA,117970,34254.5840261221,35106.5888297818,26585.9540453892,23369.3413060534,25008,63456,48455,30135,37903.930264003,44574,35821,40711,56334,45907,82048,52620,54486,56377,63582,30778.7126857931,37082.9138192392,83712,95008,88447,NA,NA
"396","687.5131@6.6307173",33677,33795,41884,40514,34380,61595,NA,34149,36382,35240,38410.3818621511,38847,55665,44169,32952,33250,54295,35464,30647,NA,34216,37598,35392,40182,39357,40936,38588,40329,38159,33756,34381,37622,34191,36091,35172,34582,36771,37970,108378,35669,34133,29611,38635,38560,31636,32977,34126,32080,35862,31210,NA,NA,31561,41997,42608,71231,30562,34560,44104,33109,65367,34041,37599,36214,41531,34852,38915,32119,49990,35154,26950,39783,32890,35409,35711,36467,49147,43478,32943,38174
"397","643.4866@6.63643",52812,40155,58900,53946,54214,86366,51183,42788,44506,52043,53109,47494,70946,62345,55972,45911,87814,49379,54947,52504,43496,49937,44498,52649,57457,67010,52104,NA,50672,43968,49723,46869,51098,50831,50433,48275,45797,51233,133703,52928,51654,58265.2174493295,52172,45431,55634,50856,50853,58393,54544,46087,59837,46828,NA,53958,56863,94740,46384,47737,69403,47467,80487,44800,NA,54589,61815,56824,NA,46505,70712,NA,47248,54838,NA,48215,48112,50890,75596,NA,44607,NA
"398","599.4605@6.641541",65664,52511,72436,76170,68169,103625,72810,57404,73658,68619,62389,68003,95248,NA,63007,NA,96392,38246,NA,63016,53350,60819,62046,59370,NA,83359,74505,68775,68805,60082,NA,69042,66118,61906,68055,48828,61688,62559,167921,63841,54988,54239,65888,59855,63138,57004,57997,67839,69572,55621,74929,68146,64835,69121,54466,130707,63189,66280,74209,58134,88346,60869,68422,63306,63569,65166,57651,64943,82515,61558,52866,NA,66307,60071,66779,61449.4984377147,93222,75811,59841,61858
"399","379.32944@6.645609",105543,79104,115247,118500,88847,115741,85287,67173,NA,83022,73431,69791,107075,95025,NA,76047,96149,98281,98067,NA,NA,95252,80844,75401,104001,91022,86332,NA,97373,74696,NA,83414,83798,89937,87593,74658,83072,83989,147016,89599,88074,83423,86480,81202,82504,87428,76152,83892,88226,NA,99127,90971,86424,74050,102642,NA,99734,83682,96584,84398,90622,85029,89749,85469,82464,82018,103309,90111,102987,NA,NA,83637,84487,84954,73570,81840,111392,NA,88597,85372
"400","555.43427@6.6459174",79379,72116,82438,80636,72784,NA,83476,75832,68578,NA,NA,70810,109861,90596,65163,74964,118037,69197,76972,76787,54071,NA,70296,76601,89760,83782,79693,NA,75458,68076,76991,77273,74332,91882,71484,58464,76100,79244,193628,68704,76562,69731,69063,75223,78624,69082,67576,82457.5258040848,NA,81969,82924,78802,65606,80126,89678,146399,72650,75010,83829,65470,98771,70987,74377,80211,70534,67367,71850,70513,100699,NA,66045,68232,78577,72860,82421,65964,98362,93313,75632,76152
"401","511.40833@6.649272",84676,83407,104127,105093,73162,143947,79358,81420,88954,73041,NA,92853,NA,106518,87483,73170,126951,98947,84864,79593,81923,83252,95127,80717,93517,100931,100489,110053,104271,79465,91750,NA,82233,92998,82741,84547,79405,91552,206629,85117,73033,84208,83038,86115,86384,78367,77567,83230,95355,84912,100167,84414,92833,103382,101975,173329,87624,80756,98152,74251,122209,90215,90481,87474,NA,82393,86408,74473,121827,84117,71183,83933,79404,83767,85854,77281,116974,90981,75930,81469
"402","406.32947@6.6501074",30097,25473,47878,27743,27504,NA,26528,20295,25535,26911,31952.8275396566,31760.4593831578,NA,33404.0996091495,23377,27669.0872561941,27327,NA,30833,25905,25276.839320382,30034.3072223946,26683,28046.9269989914,33501,NA,30483,29875,26243,28440,28775,27215,27364,25252,27887,29131.194759037,36203.5868343927,37777,NA,31011,33309,26288,30132.8828141873,27930.7401245113,28831.7787079209,29167,24074,NA,34024.7327753258,32219.8407653426,36448,29186,30494.2478341748,30173,28342,57860,25148,23360,39466,25295,31280,25563,24197,37932.5961196497,31569,24211,34797,35253,NA,NA,30164.5107853523,31690,34663.3438434074,28660,23564,25629,NA,28875,28041,32181.7849500707
"403","467.38177@6.6509275",NA,NA,127116,95748,81582,142503,85176,95931,107712,84726,78832,83298,140479,116146,84659,89582,NA,NA,NA,95601,86384,84680,88677,79912,96958,105636,84756,90635,85764,83155,86394,89950,94644,106035,97856,89853,83531,NA,207034,95663,89998,83281,95224,83249,89487,100039,88092,84707,90024,97194,98293,93739,85710,100732,112413,175702,86091,93180,105596,85993,113908,93480,93734,89735,92501,NA,98191,91388,124540,103282,80968,94967,96957,82675,89168,85338,132850,100028,86415,92420
"404","299.28207@6.6520085",193054,NA,282407,296768,168170,115024,136729,NA,312170,144422,150440,133707,169854,227648,185096,NA,200835,296524,218496,218050,138784,178249,104108,112877,376236,NA,211420,133590,127463,130888,195550,182920,204353,NA,257551,215382,NA,NA,228307,264994,155166,NA,216556,123418,133631,151185,157071,157203,251400,164592,89782,273689,171593,98860,216077,68939,269840,225066,280759,149666,222470,173737,174446,166951,234503,116218,NA,219680,309318,228950,192816,174887,181102,168561,205834,210173,286466,98515,207915,167386
"405","360.21466@6.6707206",126087,NA,125409,124656,122667,122312,117691,119255,117401,115647,NA,116947,127328,136074,125233,NA,113309,NA,128267,115581,120232,132520,115596,NA,134902,130708,117389,NA,130095,121230,122592,130858,132011,130920,125414,120143,113812,112451,NA,115255,115345,116641,128526,123420,124569,NA,113818,134585,118749,119208,119608,NA,122708,124288,121476,117476,128552,121083,121352,114726,129438,127634,110412,115388,123692,126340,119804,116624,126193,111890,116662,110295,126598,116638,114895,119712,NA,117397,118133,118947
"406","402.22522@6.670772",4125300,3895323,4093896,3903067,3737330,3629876,3668337,NA,3388677,3784929,4007725,NA,3978397,NA,3301369,3655272,3443581,3994284,3846553,3948719,3694395,NA,3423791,3634451,NA,4144161,3488082,3794591,3510443,3868713,3829350,4225945,3907297,3807103,3640193,3853199,3460315,1072395,3679685,NA,3749449,NA,4045226,3618516,3733707,3505668,3329281,3801903,3764906,3453863,4106043,4095390,3699509,3459817,3537872,3629784,3756849,4024144,3537818,3831482,3683897,3788280,3327301,3660547,3724702,3704162,3672360,3270655,3483988,3626707,3339036,3203729,NA,3678255,3736751,3900924,4136216,3382202,3518678,3739113
"407","328.15195@6.670803",224447,217662,243199,247401,220378,206136,232218,208021,229078,218176,219527,NA,230883,227401,216426,224062,208853,251354,233885,238646,218811,215214,193051,NA,NA,251280,209403,230599,237292,229066,260806,254842,239239,219504,205902,226851,218317,241096,244752,219516,218596,227669,NA,226117,237217,220513,NA,222722,223376,212116,242371,226794,227154,224581,227159,221410,233467,217551,212090,226258,239906,242511,224717,237192,224442,203897,225968,200432,223240,224071,209952,216933,NA,213581,NA,NA,244236,NA,211948,227213
"408","258.14658@6.67081",66590,61464,65935,NA,61180,60478.6651474132,61463,NA,61616,61583.8437921498,61461,61239,71588,66775,56168,63095,59831,59937,60787,NA,63598,54089,61344.6824610459,66213,61992,68819,58576,59048,60695.244623047,59964,60071.8055498686,71427,63427,57383,58527,66876,53587,59419.7298769143,62565,61593,58260,NA,61068,64318,59447,56922,50367,NA,NA,59230,63575,61220,58190,59061.7216336939,61484,50840,60208,63487,61270,67423,NA,62835,60496,60450,62006,50987,62463,59445.5157847859,58704,58810,57931.2311724657,54599,53862,64045,58121,60482.1492071426,66150,NA,57563,55922
"409","447.28296@6.671492",411395,NA,323386,284030,299318,350103,317388,272963,350002,307453,321063,NA,309328,383364,273918,270258,298071,291993,305203,382537,345610,303339,292265,NA,405747,402934,NA,285484,302429,302658,301183,350046,374685,273732,333615,293656,312541,312537,377712,287257,283742,269375,329403,263337,333576,342610,285608,NA,340823,307571,367171,329699,290180,274186,311761,299561,NA,NA,342859,324615,276977,333170,337217,305412,287295,308654,324862,306107,316096,330880,299252,261158,285747,271397,316692,306603,386238,323111,280363,298596
"410","382.27188@6.683728",236657,94324,348341,385161,204149,126123,125355,79414,NA,166935,101138,NA,194326,229986,176904,145263,267600,266650,287933,209652,115285,180082,105195,87546,386765,113491,333196,124614,132422,120523,187048,196864,235284,NA,249948,165473,158334,172223,318107,419962,NA,163347,314320,124076,116939,171128,189998,235572,390542,220691,59929,343341,NA,61605,222648,44531,360163,304580,316724,202415,183817,226648,149478,249935,387545,130821,368356,253301,318658,265651,177232,182973,193023,145586,NA,204436,276137,83253,249491,NA
"411","321.26648@6.731552",373121,NA,220604,176046,101286,199380,170377,38760,540176,250727,NA,74645,119975,NA,120444,214421,124988,221221,242640,123737,53454,NA,171083,92535.9232564286,207308,96595,123084,209905,NA,49129,138302,99205,331225,NA,214886,131392,210567,55095,195413,171220,109305,212300,112921,167104,60820,79182,108555,119099,178353,92168,102564,169017,74639,53545,NA,24592,188897,139313,176511,119809,151034,138104,208961,110719,152934,NA,535947,397874,NA,147132,291000,254006,102284,NA,NA,117545,229282,101659.054014319,324918,NA
"412","279.2561@6.7686625",1128017,2588036,2377707,3145013,2159692,1353193,1133940,1160386,960418,NA,2502310,978056,NA,501732,1489955.85773538,NA,840171,3654321,1465945,1893404,1938897,1317061,317038,NA,966451.729276634,863899,86424,953666,1388709,1722926,NA,326335,959660,105930,63320,630426,1709899,979313,2004432,1266780,1479110,1073879,1299137,1547012,1488059.74622463,1322838,1284030,76729,1448790,1455041.65519822,1705544,200557,1015292.73435693,1120804,151605,1034285,848577,364411,657325,2186402,1565878.92916914,1247393,1393018,NA,1041130,791693,NA,659218.397733207,68300,1041546.96516607,1313724.94624151,646943.428699021,1108863.91149316,707747,717447,2586606,1178701,235923,831068.487162792,2312758
"413","413.20224@6.7880607",129851,NA,113365,NA,NA,92836,NA,26626,197596,86702,65086,52790,106560,69022,60817,NA,141642,84690,191544,75679,27286,99034,90579,NA,141198,79540,148773,64075,102995,43938,84638,65627,139416,125800,132751,83100,75197,NA,113625,116720,91025,61962,117139,63072,54137,NA,82785,74473,NA,76652,38879,54427,46087,47202,85667,NA,117533,94495,108481,91756,117032,88802,63509,105139,173207,67053,135078,126186,NA,116950,93999,97772,84208,85170,97881,96122,141057,36770,171984,62512
"414","356.23483@6.829051",65930,56772.0326194837,84941,93344,41134,40142,31552,NA,106836,59785,39407,49275.1963969999,40116,59227.6454725675,39319,38429,97359,NA,NA,47272,33932,56877,NA,NA,95743,35624,78791,38311,60736,49384.7207535455,53597,49473,NA,51915,NA,NA,47012,36327,NA,67114,38016,44513,59130,32431,47031.5901620556,34469,35199,51536,79138,55780.0584823344,46555.0004883821,NA,42559,40230.7131811431,58238,NA,80671,88688,91367,37515,NA,46614,47944,66281,99116,53874,104471,101380,70107,60015,NA,NA,55779.0140580585,39375,42309,50922,74069,39905.1154230651,58819,55110
"415","176.1195@6.829152",118727,58600,124839,170627,89005,83960,70663,89223.7944213007,175190,94620,NA,65576,76508,92008,82692,76590,NA,110347,115262,84750,NA,117644,67992,73541.0526480206,NA,57281,122031,75732,96622,83410.187489941,NA,107923,125533,107772,87879,93995,86542,75669,117707,139759,69682,91445,115801,67036,53979,64587,78505,91922,133551,94403.0459295714,38330,149443,53892,80071.477956919,97718,85377.1349530215,119412,168014,126167,71314,98655,98528,88126,130784,158675,96925,NA,156519,126577,116167,106990,85051,75137,94739.703672475,81308,NA,118763,NA,95425,82983
"416","325.29776@6.832019",238291,157465,288888,330603,151469,178459,123472,57833,322432,156015,149433,140067,169780,195012,210096,136518,248248,271667,276332,240443,115243,214488,155218,86951,465527,137823,NA,156821,NA,105346,201063,177680,204894,211500,241070,177791,152891,107873,222807,338182,145617,154941,180215,124432,120042,172147,NA,178107,283828,165883,83836,433698,238526,92881,265145,57542,321654,282231,316312,148843,274815,234213,164408,204627,230260,131523,323628,239756,307261,213988,193400,166186,182324,161693,330932,225000,229417,92711,189510,175300
"417","366.18134@6.8440113",140467,NA,162899,164127,NA,NA,61904,59834,144966,158362,NA,NA,142584,103570,172732,106988,192298,125830,NA,189784,104292,139907,127300,110693,154514,NA,146675,NA,202167,78956,137261,NA,138068,107624,125841,178886,120445,89047,NA,243176,137773,NA,164182,165992,88609,109240,108480,123672,NA,103951,124758,163215,NA,99656,165397,121510,222609,NA,169119,111574,140298,130031,146911,158641,140647,127122,99377,187229,158135,101517,122977,54463,144618,113762,178669,259373,161010,103129,82478,113636
"418","657.5027@6.873848",60606,51873,52158,51663,52067,34274,20706,NA,53833,53469,55403,51154,52160,58603,49536,47445.2439529629,54518,NA,54319,36199,53450,56832,64089,58159,60115,NA,39788,50450,50060.7552896473,38840,54468,57941,NA,53451,53070.1269383417,48481,55245,61864,45227,53030,58861,NA,53175,53598.4830767209,55006.6625048114,59422,54215,56854,NA,NA,19008,53922,56998,54129,43281,56699,55019,53840.7350525718,65108,NA,54637,NA,NA,29118,50302,NA,NA,55606,67846,36421,31242,NA,57092,NA,54887,65214,59124,51702,49848,45618
"419","338.22437@6.909212",107749,58522.2830837843,61084,205418,40249,50666,27409,68985.5454057315,173748,58577,79242.2621201052,88587.642481497,36921,61024,NA,61361.0957914946,155443,21281,NA,62967,65830.326660686,74568,36269,50074.4580387104,93001,44122,146807,40214,60345,64550.5259972109,47828,48962,148278,NA,40143,NA,67626.5079364157,74996,58284,89502,68586.7572941541,75304.6182308319,91784,69036.1528251477,41348,52139,75486.7968281552,64009,177095,61614,54158.18809238,NA,NA,59700.1794929589,35464,43469.4844920352,66402,112594,94570,NA,16421,105836.432762721,32806,170144,237587,95088,116413,NA,66990,67840,75106,51414,34085,30611,47004,51174,120214,52378.1592752679,49901,84556.3981934639
"420","342.20383@6.929383",56998,26501,63331,NA,NA,30933,40362,29814,51905,49099,44629,35944,38290,41933,41939,NA,35852,161517,337738,40697,20371,75227.7059908165,34587,35705,45013,149187,38771,NA,37627,36550,191405,48615,111399,56702.2434861205,163570,159283,44239,24241,NA,44783,119557,49960,42026,39442,34342,33580,40542,44753,45257,NA,39303,58872,40511,NA,137201,46647.0725951195,47254,NA,50176,41695,162802,46584,41342,33158,60616,33346,47902,30355,41585,58716,NA,44244,36236,64958,28163,45010,237845,37273,62878,41570
"421","551.39465@6.93177",178200,81482,40810,77196,124513,47261,37576.9541221078,125806,53214,NA,56757,NA,75436,60801,58772,42217.1323429512,38190,112198,48125.1710996969,93304,125158,37022,43738,99061,45456,NA,49167,79064,36002.3482804129,49144,129912,134061,42036,185643,NA,28290,NA,86788,33621,27644,44672,47249.1737131747,110905,NA,NA,126427,88756.0599412259,115597,62361,36513,NA,41351,37021,177211,39340.4648047738,NA,24738,32992.0161034354,30819,78355,55383,37279,44159,NA,53730,70503,76137,55097,102986,64478,66946,56915,85417,36028.3069401232,43663.5716078799,NA,NA,137006,41910.2334191592,62864
"422","222.05617@6.942545",53336,49756,44709,63352,58516,50856,40397,61146,47218,37334,83595,42484,46182,50418,52488,NA,NA,45380,45145,51280,87373,54465,43584,44752,NA,47937,NA,50807,61546,46013,NA,56226,47578,56115,52459,56168,58988,44193,NA,NA,NA,43193,50208,47563,52093,48930,39773,45236,63959,47685,45461,68739,41714,58835,51778,44283,51224,NA,44858,49005,47887,44823,41524,64879,57126,51471.4289618632,NA,40817,NA,68333,55325,44755,66195,45530,46171.0001499959,47009.6935070766,56567,52364.8033549237,48497,41348
"423","462.12308@6.942547",137125,130519,123426,143621,143877,142018,120414,152256,132093,100637,187142,123403,134156,124685,NA,119175,132848,126225,111419,142607,144296,124383,123111,112370,NA,125506,150053,117923,146948,113604,140147,162196,127015,128409,NA,123907,124595,NA,181852,118609,127883,133779,148889,115214,128353,139307,99405,127440,NA,147446,NA,NA,112377,170001,133905,139509,131106,109572,130738,NA,120794,128289,137119,145970,144045,128505,120952,124320,120002,148240,123415,131543,156284,120067,121487,132286,116221,111442,NA,NA
"424","351.1707@7.002182",118244.028354134,137775,147772,116337,NA,231016,NA,NA,NA,124507,95289,132116,138440,91646,265863,134037,199305,114105.77283091,78987,111100,76679,79331,131611,133590,85782,149702,95289,97490,164244,158181.078682398,115195,115226.20959615,NA,105143.829847939,NA,152400,52413,77185,NA,187866,NA,109954,49714,175623,117448.484559449,86197,88859,112991,58944,121331.85520804,127869,173172,257636,103289,197979,90643,327406,NA,148189,87996,104413,167157,110287,240432,113629,88926,147804.795537186,170443,85981,61689,56175,104047.536875631,151126,120874,216346,389921,119056,107399,153479.517836932,111541
"425","305.27164@7.0070505",NA,141393,309168,359757,163921,137619,131404,73533,297336,173106,100275,123681,186199,174615,194203,119143,NA,208539,261523,203085,115799,NA,121652,83195,357887,106909,265220,NA,149246,NA,163396,225035,202042,242281,NA,129443,150097,143214,243967,320829,NA,146127,274278,125382,136314,153415,192078,232679,NA,NA,52476,292666,150663,61671,193076,159988.451915263,318972,271977,274515,189077,173958,266665,127207,274856,374833,138556,294685,NA,296983,230692,162591,182088,161706,145857,166473,198863,222107,93545,217688,219376
"426","511.4594@7.0108156",76854,105484,55666,107263,53845,51965,45773,64639,81693,53742,72219,59213,65263,66866,81013,44426,NA,37115,NA,109321,81150,46847,67904.620494594,78021,69623,87968,59780,56856,66077,38939,107043,57151,NA,NA,185807,59901,34901,NA,41491,NA,96129,55158,111885,42810,41497,205271,92872,106773,69523,75190,101810,50712,89464,75051,88598,54638,69801,NA,67463,48630,53614,103556,46750,75549,47093,124017,NA,138657,95531,104921,158786,70334,105169,35000,NA,127898,65057,NA,48035,65485
"427","537.4753@7.0330663",35002,117405,45036.8638004299,71842,68032.962669126,27246,37900.0790018316,82073,55849,42323.0616432598,62884,56306.5977426187,60840,45392,37613,29981,43240.8660714998,46336.8385140147,56858.6747726472,91117,49406,28205,48662.274327476,53539,NA,79280,35374,NA,25470,48174.0083126712,116393,42156,62858,99993,408116,40864.1658558467,55936.0913367622,34859,51295.0445083503,52947.6065815184,46246,39005,106413,59183.1529253755,NA,NA,65509,97359,37484,33218,94942,55922.0101426341,30293,35062,98918,44618.9838018651,75455,37557.7986533191,NA,30681,33671,49232,46564.6588178616,NA,NA,NA,40769,179748,33947,76458,NA,51837,107498,39141.5083907736,23652,76087,29627,94105,42741.8331046699,37071
"428","308.2352@7.0507727",652063,174920,726849,NA,334928,419747,333400,147115,1370159,522341,NA,251105,400840,394200,381509,433001,645365,739237,831575,461557,245909,516409,319946,208077,834745,262510,NA,320926,428466,253707,566746,585278,698564,730235,689535,450950,515348,271379,613099,914517,408210,419582,759085,391200,278669,286396,296207,615058,876568,453928,142396,790792,341819,182437,634207,82575,758346,616966,606421,430491,451806,618081,376228,634221,973204,403406,NA,NA,NA,486152,628893,601405,371044,408441,451596,513708,866779,171406,751912,350328
"429","328.2397@7.0551577",NA,181105,122572,128100,51724,124159,92722.6470518598,95251.4722903399,63914,108717.643971699,43794,90026,147280,107217,44872,92181.0070305407,117243,57836,44029,91611,88239,153733,77672,79057,61678,100784,80521,NA,103947,79234.2078932747,97881,NA,54220,55386,83694.8044783281,104653,81515,67229,87559,62386,99774,67346,74949,82941,68933.9755941369,86306,NA,NA,61152,141527,111881,246680,53493,65188.4410665885,78056,35585,278281,216186,128924,107506,NA,65375,87001,167470,107771,100906,82917.6298952639,164733,106883,59194,81897,NA,120891,112054,43854,135064,51652,65524,NA,116961
"430","365.22385@7.063843",54196,79114,62305,67314,55998,NA,40264,45330,50527.9344425885,41519.5593936521,71402,68451,52658,NA,77748,NA,40841.5700032321,79426,54300,51084,66887,NA,61479,49293,34115,62470,65373,62059,48338,50584,40078.2765125759,46220.8630050755,78272,43856.7822015083,46875.2212165557,43242.8202573792,42408,28146,NA,42872,40035,NA,46482,52901,43560,84492,84858,43364.2038531117,62328,82238,NA,48244.3100551829,55280,81799,40532.9259439071,78156,39383,42760.7715799832,NA,60992,79205,68852,57127,59762,43206,39683,61959,35010.6262803121,38262.558620526,51743.1668202153,44635.9431832642,33848.2369128497,40309.1398469197,40323,28839,56919,52825,77048,37719.0353360877,61819
"431","211.19331@7.0642624",94067,162392,110206,NA,103578,NA,NA,NA,63598,69268,147834,141045,101893,NA,183072,74074.4237132217,53793,201278,103262,116397,124317,83794,119707,106056,55618,118788,138284,122732,NA,116395,84117.4972193154,NA,142316,84066.3001932407,70194.5755992343,78431,91806,94146.6825567366,108266,NA,79350,58929,69422,92317,89218,168939,201946,NA,154922,200795,142036,NA,109794,146477,70920.2553991721,NA,59036,75407.583730897,79719.4463497642,132807,191706,163647,NA,108692,72530,NA,117071,81495.2226769547,85562.9788599174,NA,98657.3508303229,63585.1198479801,80724.1651589456,76840,NA,122860,66852,163215,74152.6539369104,140569
"432","197.17757@7.0643353",94591,171392,124104,157438,107175,76049,63358,NA,110164.6560075,86446.8554798114,167758,151930,108584,32152,182015,87914.3817201822,88710.8578708372,192791,102034,108582,127383,84576,129901,100298,64885,119717,148298,127962,NA,116370,79206.5314690316,79614.5464202095,147556,NA,79493.9752569409,80747,105211,60275,114405,81611,82885,60963,73171,100649,NA,185415,196839,84079.6791520345,154804,194616,146358,92160.9465808093,115734,154956,79974.0885469414,153615,NA,83724.1566395546,76755.3310791094,132774,201334,159465,98347,107137,86207,119161.676910582,128148,65743.4010802253,77307.2473643202,84848.3893329978,88922.2088908758,59509.5956337603,79667.2243718325,80644,87160.0011147993,118273,80546,180954,73292.1448789478,139175
"433","225.20885@7.064378",96851,NA,120308,152025,110679,NA,63972,80021,NA,74356,165652,151371,118642,118972.616557029,191415,54366,61412,201399,106881,114608,NA,89152,122912,105319,58522,123538,156830,134587,96929,NA,87601.8125339853,82488.3481415914,144801,93557.6781868369,78005.1483176068,84650,94999,NA,118620,93325.3338055036,78596,106911.446959296,73921,98404,87988,NA,211134,93712.5610210245,145332,214615,147931,112910.694854842,115940,157076,78515.6598009154,169299,NA,82889.3927004691,NA,136807,209056,180933,102253,117748,90571,87058,NA,87350.2130447163,NA,95812.0621187887,100745.251269474,78175.5234532234,NA,84281,53309,120837,76157,178252,84697.2010997545,148811
