"","Compound","S1_EDTA_T0","S2_EDTA_T0","S3_EDTA_T0","S4_EDTA_T0","S1_EDTA_T3","S2_EDTA_T3","S3_EDTA_T3","S4_EDTA_T3","S1_EDTA_T6","S2_EDTA_T6","S3_EDTA_T6","S4_EDTA_T6","S1_EDTA_T9","S2_EDTA_T9","S3_EDTA_T9","S4_EDTA_T9","S1_EDTA_T12","S2_EDTA_T12","S3_EDTA_T12","S4_EDTA_T12","S1_EDTA_T18","S2_EDTA_T18","S3_EDTA_T18","S4_EDTA_T18","S1_EDTA_T24","S2_EDTA_T24","S3_EDTA_T24","S4_EDTA_T24","S1_EDTA_T30","S2_EDTA_T30","S3_EDTA_T30","S4_EDTA_T30","S1_EDTA_T36","S2_EDTA_T36","S3_EDTA_T36","S4_EDTA_T36","S1_EDTA_T48","S2_EDTA_T48","S3_EDTA_T48","S4_EDTA_T48","S1_EDTA_T60","S2_EDTA_T60","S3_EDTA_T60","S4_EDTA_T60","S1_EDTA_T72","S2_EDTA_T72","S3_EDTA_T72","S4_EDTA_T72","S1_EDTA_T96","S2_EDTA_T96","S3_EDTA_T96","S4_EDTA_T96","S1_EDTA_T120","S2_EDTA_T120","S3_EDTA_T120","S4_EDTA_T120","S1_EDTA_T144","S2_EDTA_T144","S3_EDTA_T144","S4_EDTA_T144","S1_EDTA_T168","S2_EDTA_T168","S3_EDTA_T168","S4_EDTA_T168","QC_EDTA_1","QC_EDTA_2","QC_EDTA_3","QC_EDTA_4","QC_EDTA_5","QC_EDTA_6","QC_EDTA_7","QC_EDTA_8","S5_T0_EDTA","S6_T0_EDTA","S7_T0_EDTA","S8_T0_EDTA","S5_T3_EDTA","S6_T3_EDTA","S7_T3_EDTA","S8_T3_EDTA","S5_T6_EDTA","S6_T6_EDTA","S7_T6_EDTA","S8_T6_EDTA","S5_T9_EDTA","S6_T9_EDTA","S7_T9_EDTA","S8_T9_EDTA","S5_T12_EDTA","S6_T12_EDTA","S7_T12_EDTA","S8_T12_EDTA","S5_T18_EDTA","S6_T18_EDTA","S7_T18_EDTA","S8_T18_EDTA","S5_T24_EDTA","S6_T24_EDTA","S7_T24_EDTA","S8_T24_EDTA","S5_T30_EDTA","S6_T30_EDTA","S7_T30_EDTA","S8_T30_EDTA","S5_T36_EDTA","S6_T36_EDTA","S7_T36_EDTA","S8_T36_EDTA","S5_T48_EDTA","S6_T48_EDTA","S7_T48_EDTA","S8_T48_EDTA","S5_T60_EDTA","S6_T60_EDTA","S7_T60_EDTA","S8_T60_EDTA","S5_T72_EDTA","S6_T72_EDTA","S7_T72_EDTA","S8_T72_EDTA","S5_T96_EDTA","S6_T96_EDTA","S7_T96_EDTA","S8_T96_EDTA","S5_T120_EDTA","S6_T120_EDTA","S7_T120_EDTA","S5_T144_EDTA","S6_T144_EDTA","S7_T144_EDTA","S8_T144_EDTA","S5_T168_EDTA","S6_T168_EDTA","S7_T168_EDTA","S8_T168_EDTA","QC_1_S5_S8_EDTA","QC_2_S5_S8_EDTA","QC_4_S5_S8_EDTA","QC_5_S5_S8_EDTA","QC_6_S5_S8_EDTA","QC_7_S5_S8_EDTA","QC_8_S5_S8_EDTA","QC_3_S5_S8_EDTA"
"60","L-tyrosine (sum)",121877.577159472,NA,48105.6354318879,94706.3928296739,125640.307605175,64748.4955264248,46582.360290144,NA,135464.359656549,71727.2749970361,47519.3961846082,107354.469775973,138428.272644287,72937.29956466,43127.0765889906,106080.550307246,131765.252729037,77413.4216212054,49182.3836538381,110423.719105244,130609.446993648,83733.3734634331,53173.0046887918,118882.161290069,131323.622624157,88434.189024388,48106.9127742918,NA,132454.302883402,82856.2119482487,52071.2958372402,114489.456498922,146520.926494442,NA,NA,119639.928315752,147709.840053268,95259.6890278716,52055.8658767016,129800.333932389,151404.816430918,110954.501820668,NA,139079.417663156,152031.652377793,54864.5298554781,105200.557799786,124111.221803721,171668.170719287,136483.971160248,78626.9305363509,122737.04992046,198145.091663873,108271.158003263,79897.6523077429,137954.238773423,183761.821176646,152419.113684724,71434.9898118106,144256.766028685,218836.333142412,NA,114732.992590263,52040.9173328805,NA,112887.691456213,115173.809229736,108192.318906573,109279.861753672,111313.223878074,111246.958527824,115291.906974504,53157.7279142162,80865.6161602733,102746.527039243,81280.8763021754,54886.5108794804,76427.2766152648,112450.725152258,83279.6802287915,56509.2386535472,95249.7088444837,105106.393951205,88834.2966414574,63690.0271115215,83798.8116235089,116534.252018853,73096.9401976353,58006.747326875,87942.7000603398,160311.234172646,92982.207470979,55302.2579643866,NA,128096.646949233,93494.2076915906,56128.7829654466,75035.5213264603,114867.32707112,97214.8485950501,66497.1246416175,82869.1126028154,141121.559488866,93685.7963354341,NA,81839.4235537638,140556.293921059,92287.6939458241,75815.3295793418,94653.6389061865,142052.415803161,102912.307116695,58919.0238287281,100352.738347157,162530.985412608,88736.4870567408,NA,NA,142413.168960088,99843.4969971498,102022.097076004,92128.0784488082,180886.449826642,133137.265516656,NA,NA,216173.018479566,107319.314860708,92249.9964276619,181192.389025204,155095.533144582,127516.001682594,804268.199069667,209672.206120564,135109.728036687,109942.68005195,102708.36841426,NA,113070.36509529,113702.588866909,115532.472151671,111427.820057661,115043.979827327
"61","[24749] D-glucose 1 [17.426]",1547505.627342,2167049.67689424,1958819.76507595,1753597.09403077,1598836.91854381,1957936.60388295,1656720.21211638,1751883.16794729,1665965.3590756,1854624.85793559,1325988.98149403,1436911.30586762,1398590.2618583,1545531.72884503,879852.133172024,1200337.77742453,949821.186978634,1069073.12427341,726598.385184519,1187104.52142459,325581.222007642,642750.150967899,NA,614536.444476784,2038.63505134004,262019.293027868,20282.1875890966,102473.937760989,1550.16946515966,NA,1613.45953253339,2419.27553548082,1806.26634657522,3059.22746040952,1493.31183155977,2957.24220327804,NA,1505.96911704506,1484.53477408376,1882.15629229568,2527.09841355084,3535.13750440985,1361.81786988055,2560.38515720911,2672.54699821858,1104.06176185268,1423.07966621912,1864.00398567136,3538.5673363395,1700.38202446582,1896.11810613281,2009.64368721616,5623.85825417698,2448.58591795328,1329.82028325223,NA,5356.42266114812,3228.07747175751,1509.14329198912,2410.63165967539,7329.22923916872,3532.66293050785,2398.04882031331,1632.54692145131,483938.334853144,476441.749603709,466742.595827834,362910.12610558,464999.992779717,437408.391194562,477490.376936348,345647.237370226,2499941.66079928,2303406.37418942,2598656.84282198,2358206.24733753,2091947.69053936,1816787.641438,2209213.06224045,2217903.26705538,1437710.97328999,2450640.77788879,NA,1816364.38411826,NA,1112617.81049385,1111120.78811077,1007309.87829325,415760.850551407,1012345.75719237,6619.63191734069,437984.17556466,161674.117369084,166425.73147668,31840.9803613938,35012.924924916,5343.5333369972,4182.6293093031,5614.28713292088,2646.66482307534,4038.41120633691,7718.45315456969,9609.12640756331,3055.47038958206,3886.46859467378,5548.80951739236,7595.76475372598,1419.25714738278,4549.11323972703,7383.78154997944,5410.0231723964,2644.97811708361,3779.62318949357,6495.25660015818,7685.54824122108,1834.96443110279,6323.38219406179,6542.68586276772,6760.09014180972,2242.75942547353,5147.01555106651,5703.40585952306,7762.20308104658,2428.30773471222,4960.12813847707,8575.37437987961,4460.87537315387,9331.36410046296,9497.04479373802,5522.42035060577,3195.36539295986,9093.5973011792,33227.0420489408,4864.7389777958,2699.05553935134,409421.037547397,446995.294777008,429941.66986424,381928.877181123,368239.659677183,428660.04562077,506779.116569057,543613.103434343
"62","[5962] L-lysine 2 [17.643]",59241.1397059879,32438.5938338208,27382.2041274373,51052.2162120091,53022.6281710466,23390.6997803452,18989.7759999683,42257.4889766926,58572.4733469286,32065.5456183572,20974.4042609845,41536.1907684642,65805.8921783857,31855.0929887848,14749.6115319049,33942.0078359896,58750.7820481298,33031.9751856249,16922.0795653645,47587.7914021893,63386.1853201358,32783.0522118907,22527.2614505496,55524.242788585,55897.0672245874,41857.4729305297,20399.8895576546,52839.3875377123,53067.6813431211,35819.5789521354,22750.3259606352,49266.9046956542,66113.9751898712,42339.0385555917,26346.4392048727,49149.9001649362,67520.090503637,41204.5641700355,23988.0193299291,69590.2325491818,90226.4656586361,54775.035816533,28854.0519658686,83149.3929802299,NA,21618.0841866984,46436.7307715891,NA,96565.7450359281,NA,44706.3666712781,55054.6892139156,125112.862741391,31545.3706119302,39118.1841522008,69720.5449524821,115184.123258744,64522.9741485755,39006.5884589461,NA,130874.004342267,104309.326486888,60419.0069137355,31721.3699880189,45174.4254008212,46517.6090870581,56003.1395259262,49877.3624035941,53357.0961620969,54156.1244387633,57540.5750921614,53044.303409277,10913.873702865,59052.7320273525,39530.872756829,29733.9826396859,9211.23902771908,41427.0721726985,35592.3909306952,31835.1753243545,8041.7526741563,61609.7198059337,NA,44096.0132915995,NA,50927.4433906526,49810.5748738537,31063.249729329,10465.9200665407,54296.8296770839,86091.8353762344,43922.0990378905,12950.7483516764,38168.0491455532,64950.2988978259,45689.3270791425,15606.629709279,41210.0470516705,48870.5586915862,48226.9338880333,13958.281909899,34022.3206198242,NA,38128.2794700713,18039.4427944808,40379.461156322,67358.9263826411,32293.8944374416,24966.6637746205,46476.0531402759,67748.8187361954,48815.7439680383,7797.39161159568,67282.4369468346,94832.4492224866,45165.359166553,22619.6707789593,48463.5556076765,72310.3525076321,50980.1936579316,42863.7340400974,41977.3814734123,105330.649848507,NA,35107.0606795925,NA,141184.911389723,44483.2353219109,41685.8918249489,95777.2204324861,96160.5352755592,55401.4636232576,273298.499893933,136369.106191088,64880.9915449704,41078.4487392652,37048.8038142458,57253.6899955884,55824.6890867618,NA,56062.4522444456,58271.4658812264,50535.4043995121
"63","[6251] D-mannitol [17.81]",3501.86927287824,5162.99721372174,4702.01326749213,4605.33800128612,5258.80342113495,3783.50851442563,3588.02825208904,5027.88256581814,2679.04998481447,NA,4270.89899205998,3913.84908010001,4688.14736296828,3517.21751816531,1482.70765887064,3270.64505444498,4671.28314952743,2622.36736344322,2107.19565053731,3536.66506931925,4119.31807706541,2852.72348125614,2946.98447217986,NA,2576.66292403843,3903.60265631513,2245.90068666751,3372.57686632944,2282.46541350373,3408.10859894315,1716.43655997899,3297.78935447632,1523.35381235859,3002.57808333153,3338.2241026245,3191.00240202919,1734.75056879389,1319.06346687062,2833.50507319262,2259.15801273593,3087.40394274941,5475.20801452405,3032.09561967196,NA,2906.15180285095,2616.28106623041,3233.95938201985,3381.20735095551,2880.44945386527,4094.71597711655,2993.97349007841,482.218286568373,4006.06672493248,NA,NA,685.602791305871,4578.164140876,4923.39383221775,567.704607445987,928.396475159692,5249.65091424536,7224.94262587283,3088.39787384564,585.083615656444,4634.83896479068,NA,2817.65846725884,2402.66004440055,3976.37448072658,3470.91715532036,3440.33494755427,2872.02366187801,13478.3828104531,514.843529040707,NA,NA,14001.2808222623,400.620344059724,448.313748661712,261.509466678267,11432.0917504685,504.033067101197,NA,241.547438726509,13437.4767598604,335.373559328252,319.87826995485,275.105474029191,7319.63675538615,306.245005522035,706.660390615899,192.294513017054,8653.57398419716,411.270579958867,348.574088554987,139.141888846053,5308.31231433982,197.698457978483,277.247031930257,211.076434909794,5116.69897642531,349.008035254277,285.990179718033,NA,6330.20934607548,361.503847621998,708.033999843607,119.048470086483,8039.18404623576,345.203450074114,NA,159.639741257661,6412.69621495318,435.922649606302,597.384614743398,230.904108982798,11384.0180561008,238.982537987268,715.952587276186,160.896036966368,3569.45460076878,5737.50137680498,940.968194327725,169.240658245879,NA,12491.4069016264,1138.22059761914,11485.0875104126,471.065682787863,900.761791639962,240.242223809238,7696.56404586677,23877.4374052595,1435.40317400484,215.544362753623,3113.3755071874,3420.90749452069,3223.83149337212,2989.70775583992,2899.20879670805,NA,3748.68324598958,4179.29181242384
"64","[604] gluconic acid 2 [18.297]",NA,NA,1239.48251340507,1789.5424682396,1433.84365393467,1990.46007530648,1680.99244990988,2371.15394510212,2376.20762784494,1585.88070232515,1685.33212131261,1876.9652067371,2280.80411667548,1196.8375788198,NA,1640.12629320022,1971.05564515965,1641.1453604396,1530.77640022145,1917.22537258523,1850.04297417995,1118.65536652933,1628.87610178561,1973.17806598789,1089.20651028095,1240.31267451599,1647.04965844527,1129.95550281295,1368.92983222649,1613.5207206276,1023.90468840046,1766.26185487171,1356.83287430505,1523.92042086694,1654.62895072216,NA,1501.76042794898,1116.75423894668,1784.80727938284,1229.42570468231,1806.7772534466,2202.5868235319,1208.1238137415,2158.06145844338,1952.05636975232,NA,1246.52092822923,1723.8555873277,1640.11003101608,1322.99529301967,1611.9182335191,1757.28930277906,2059.4550632132,NA,1560.44429239199,1651.61896135777,2147.66713049034,2522.93180567936,1276.65375125978,2006.86284384697,2657.83392296562,NA,1892.71400594057,1319.88599627552,2334.07916697069,2374.38528672169,2323.86518844949,1761.94988602014,NA,2049.39200638244,2296.32623180466,1853.70575810971,2977.1496198046,NA,1675.24768290139,1099.62848524456,2621.90463300962,1906.9964854047,1647.6763565239,1350.38290266878,2074.65109805885,3614.88657722134,1442.78540049966,1352.99984400803,2977.4554251377,1798.62290887187,1623.13260087875,1426.86121376692,1640.1880982799,2410.99502111107,1748.96319068,1219.33885168195,1967.75347823608,NA,1531.65277466533,883.06770943014,1697.38664869978,1551.21760518344,854.378374070983,1087.18193195666,1634.68649950513,1786.34431834925,NA,1075.03631781939,1447.48503248051,2227.80836942838,1883.77332658641,859.001726620956,2114.31286093657,2128.05179359337,1547.76852181483,962.743423870193,1626.88502428842,2298.34991203365,2167.53736983713,NA,2651.62265095993,1509.60503691164,1895.517506927,NA,1678.6925417673,2517.36214041983,2141.78101329943,1157.39485299494,2043.33865953615,3575.18998741516,2539.80112511745,NA,2496.24528954182,2164.1610836111,1616.7099468089,NA,25243.6549433715,2195.65063090252,1238.84092016404,2199.42602782866,NA,2467.48499145783,2025.9197350845,1748.46946340868,1781.31352174466,NA,2569.34434297687
"65","Scyllo-Inositol, 6TMS derivative",3536.03286016377,3248.21845639962,NA,2887.35184492338,NA,3260.35417942774,1626.38750415218,2387.66741977186,3587.5916836921,NA,NA,2691.5957732376,4672.39276485126,3145.84251414373,2039.58677501445,2820.22313769097,4216.49445511528,NA,1723.29979417696,NA,3549.72259846205,2922.13860467428,2235.10374812696,2980.21793025784,NA,3404.10498674596,1866.2008114145,NA,4186.52244443674,3263.15011255425,2416.38421333414,3207.98919563535,3910.47262390111,3394.47687180823,2401.5479996393,3260.96508646722,4674.38646025871,3099.51507710598,2732.2430179899,3103.03480419871,5280.96120204921,4264.14803129276,2526.67123060427,3966.75900268584,5968.44341698565,2842.01075377941,4559.97614833959,3948.65118449402,7109.78325466062,5202.08502764196,3790.42535365518,4363.61927557095,7503.62740021614,5039.37033705573,3070.17660991938,4969.25081929646,7880.75158336735,6667.73991431433,NA,4579.59417304706,8810.80173450471,6886.07732236122,3910.24749288853,NA,4544.30547179102,NA,3875.91990413067,3590.8282450697,4600.02693905302,4079.34659648092,4140.08610483407,4066.2798982676,2598.34997698137,3476.34401749454,2193.5162318262,1983.59930273189,NA,4520.92723573349,2360.10124898846,2523.78570957017,2363.06246727073,5383.41395524416,2093.16469161494,2294.46155283023,2701.55933405751,4176.6948649459,2419.70558065905,NA,2117.24628760082,4863.3431094714,4529.76738844038,2306.03290136185,2845.88783867225,4515.49190375375,2404.59873595339,2149.03724388582,2961.4355864595,4127.96553896019,2450.08850392378,NA,2518.24081973814,4876.74030766974,2875.7623573171,2509.27813794475,2705.55659102405,NA,3591.75513499537,2248.8983564589,3489.10185117516,5769.43601379894,3353.58660111469,2362.10399904571,3243.23460134491,6057.22208296771,4108.45650444725,2602.63754157637,3804.33940874483,5777.91078989445,4489.53285459492,2720.87113736158,5071.76528147823,6181.26295098653,5427.41356700252,3432.2482368278,4012.02020676174,4765.54979422707,6373.37818993165,4743.30402932577,8515.18721299008,5547.04277765684,4606.95927036929,5598.15639787651,88217.6708204454,5997.040519773,3729.35413135735,4128.48293682665,3767.2776150264,NA,4268.52063304071,4384.11382775198,3910.07887469834,4244.15398579058,NA
"66","[445638] palmitoleic acid [18.728]",1427.02134934181,679.875143056063,753.392358834027,NA,1212.29015369605,525.39432742473,682.165640606531,2058.79467752192,1415.43323705197,566.171571100189,636.337144726269,2219.27962222091,1410.82475231381,682.858293342885,541.240370310737,2547.75598982965,1243.62875621692,NA,610.514559069531,2246.7787919775,1409.49882118843,708.150519283881,592.632513452825,2378.28684599185,1429.36421482152,722.860540443662,588.163987157127,2439.37152768242,1593.69329085433,616.972362829988,769.579540516298,2596.8582374953,1546.47140943449,796.871070012169,NA,2252.45224178272,1464.48340330581,732.583751794978,784.956525941321,2811.93163350109,1782.49004654298,NA,969.906195795138,NA,1840.56857213813,736.010229340722,748.710451593844,2427.81183082565,2047.83524948485,970.021266275215,1041.02532420407,NA,2372.06330599591,1051.06042207573,NA,3262.64250597104,2005.72658148043,952.915834201783,1329.00150729938,3394.23333232448,2442.79953452228,1527.97932813733,1910.95693955779,NA,1510.23997607172,1647.75361122203,1573.62788185081,1557.78484352426,1340.04242268517,1597.28717309414,1735.37328179961,1407.44000680845,205.063771121123,124.280941386361,1148.41255701582,2226.60994627416,177.502382368406,120.9599722273,1282.95361653041,2515.38963743466,183.920557240657,NA,1417.98601829292,2520.90012889548,219.105631021319,120.698118010173,1498.26770474933,2132.15127374369,199.406982603444,NA,2098.14904589103,2575.55682566446,266.581804129885,222.002227988537,1434.18825436838,2489.42007857923,254.702617866974,107.703818556508,1466.0921724161,NA,260.488748538735,102.404062758392,1648.87540467805,2614.77584164324,NA,362.939900677855,1515.6789438439,2083.51185853727,474.028006827808,224.761034523814,1547.29670439333,2322.60532376996,NA,182.890501715716,1936.80429426792,NA,NA,347.668945970956,1828.60433839008,2792.28350137365,450.088683487912,533.832491740518,2414.88018071787,4314.84078546321,1182.88300489877,1008.27120039105,3146.19767750579,973.840912966799,303.906981526689,2811.9538799675,4712.90613469768,1492.08815337663,216531.238579565,NA,4244.93014914559,1395.051417185,1526.64523255478,1664.9401081123,NA,1689.53628749313,1295.09666490517,1478.7961645258,1677.02279346555
"67","[985] palmitic acid [18.846]",48910.2313726492,27296.5712118765,23213.4962163072,66876.4159020003,45099.0403291118,23185.8687415083,25402.1717804166,62347.0416267041,50920.4406854124,22719.5781554101,33369.1777352469,69516.3426602757,47264.4647404849,25845.2936526116,23056.6532111725,67702.0929651757,48177.2202682065,24795.3010681387,22796.6448238024,74421.5238078628,44466.2876725733,26129.1783272124,24083.0620033387,NA,50544.5622734438,28366.814434271,25252.2699575809,68044.6040770113,52377.1049642053,24922.8556850477,25713.5471539018,73484.2689520811,60531.5494789293,28760.9508005008,28593.3982527456,75761.6088702903,57046.4652777062,32795.5266327019,32418.0380580781,78788.8761350656,69554.9372636605,37505.7209000313,35786.3521346209,89369.3051601164,NA,32912.2771285391,33939.9392706847,89689.5489166396,93106.4697057075,51542.7692688159,50178.0587440368,113875.000389215,109482.868137025,50944.0796538478,58320.9576878976,125361.643162218,104301.574073668,NA,55303.5554191038,122663.588026906,130598.851298528,69820.1461041447,75259.7589567286,126071.782031825,60505.0816623018,59630.0086137171,57531.2485816513,56230.847913607,58152.7609191108,58398.3111043435,57958.1695033769,60706.5439037006,NA,9213.36885097763,40884.3895791552,64042.2489612295,13895.3216775496,11860.4767823895,42363.713818707,65019.3041300016,22918.1307162854,16497.146985236,38692.7999985667,70261.093045877,17278.4023855704,13699.7454451384,43227.0985722374,53073.0579651332,16955.3594055909,13326.0543918171,87125.6517988424,68646.2864635855,15475.086754684,14719.1752945529,49176.4856889435,NA,16697.5805106124,NA,47302.9329785313,71240.9447388538,20429.0813128339,11398.1229545259,55704.5176214826,72189.919034658,22746.4941656192,15078.4107441259,59491.9709665256,57913.7918776816,29613.9801609162,17879.4370244764,60411.9245416399,65195.3347969767,34321.3619170445,19461.4241299584,74736.5428349914,71907.0564930014,47151.312272599,19916.3801802623,79821.4974012986,81827.8611547687,NA,41470.6571887823,98596.0018596906,107471.600954631,73784.1426026819,85003.2452111216,130085.993377181,93491.2534866794,NA,118855.43833361,139506.766457409,127255.692252801,733967.258178414,138395.397573683,124865.703984532,57053.0567368422,53597.0086018933,57512.3552494132,60414.32009412,NA,NA,60777.8464074341,59006.2958450908
"68","[656894] isopropyl beta-D-1-thiogalactopyranoside  [19.097]",59912.4143429997,71525.8988000541,42213.0499792028,NA,63970.0460873174,68478.7053136971,44602.5824186296,NA,76607.498814746,74876.1888851353,44352.8827659864,57426.7515368259,77116.1953089511,74097.9901445818,38923.1002078522,56884.9375439731,71408.6642460761,71600.8032931727,42666.4439962671,59984.5003174922,62798.4182592844,70956.9148273485,NA,62621.8844066507,44104.0520818099,64175.791168662,41777.52407777,48177.5623234114,65024.7905007928,65922.6330542789,38046.2755167613,54476.5072058014,57248.8114234135,69203.8709968095,NA,56506.5800785007,60274.9153891791,56142.4305279291,53387.3282332385,NA,101702.193903358,NA,55034.6799909994,86939.1140283318,119589.556848316,57737.93061026,77754.6264792986,80420.2182089015,142227.09815754,103597.725140354,75990.6080025286,NA,174115.163148849,105576.633156609,69873.0386157393,98073.1432212946,182525.695976323,177532.582540319,42660.0043099026,88452.7623775298,204389.123739424,175825.895869486,82824.2926424147,65333.6964103404,105313.92103937,98331.4720512717,95377.2797346827,79413.9084004947,97774.9098871955,89586.9918184111,100961.965107458,79007.1642447513,54952.1119685481,64116.8440574478,49255.9438665013,53146.7930811943,61297.3928452914,60937.253620847,54208.1018526129,NA,64770.0541232475,80956.2809197215,49196.3916006926,57812.9377521511,65081.7330889364,59638.3330559438,NA,47947.4069037316,54010.9113635222,71472.1267634355,NA,50080.90491291,53480.8031138849,56261.6434867639,48700.6333013989,35323.6130179878,45859.4107603903,40602.6595076474,41456.4174985007,50839.182173095,53729.1218517887,65394.0508204876,53997.5956208138,51434.5227726515,57060.0875065755,65722.5462382961,79755.9318576888,39875.6859382225,69879.9938409851,81957.3437064192,71366.3886194682,54635.1310137239,62779.8336315292,90726.8672577805,113261.887684015,NA,97758.0067751328,71622.1784160259,120925.236205557,53994.2513520665,82209.9861511489,107750.822889087,NA,76438.8000443626,86623.8403023049,120385.299049339,179012.510828495,121524.931008735,125748.265349712,151300.031755464,113020.879221715,131834.838787511,46780.2113833941,167751.548241569,93122.7461603858,92892.591281263,88844.6209619851,91812.6116259658,88685.7367585954,87522.8299400629,90605.3901565667,100663.544881908,104740.286677288
"69","Myo-Inositol, 6TMS derivative",53294.9418108261,62045.9486992431,36316.0118369765,44790.651418227,55690.7981401628,58201.4284252473,38617.0888383833,48057.4948942927,65447.2135555792,65789.3539840444,38546.8950202394,49955.1688278974,67136.7835230127,62901.4229205501,33703.2409359088,48258.2688536805,NA,61831.2754001927,NA,51304.9358225596,54801.5739118922,61244.2341084399,42679.7882958871,53821.3113531401,38296.246979102,NA,36574.0797892855,42039.0525597803,55777.5481309633,57919.4922954287,NA,47191.9062760582,NA,NA,NA,48349.3716530579,51811.0537099268,49247.9627191835,45065.7835378756,44946.4339456646,87964.4761431293,98505.9474048563,47025.0718609226,74479.7032317025,103897.321025808,50297.5666998352,67851.4425487089,NA,123527.721528442,90412.894189618,65527.4092617189,70587.3126197069,149734.567160436,91288.5232512896,60158.1677623933,84289.8701452475,158301.739399191,154703.459598601,37916.7423653623,77010.6405122175,176437.232549564,151583.256756869,70763.7231765684,55353.3784582929,89518.6020686428,85560.9321267599,83325.4666361312,68698.1380875974,83270.3368699525,76381.6079408233,88594.1335066325,69443.8709451231,47177.4096093937,55148.7878142166,43440.9632967527,45810.2114328583,52431.8539277466,53574.5659368219,46229.3353910739,51620.6521160587,54430.3458783149,70719.2959398536,41288.0559703151,49951.1429146113,55769.7325176248,51985.3446150687,NA,41989.9290939212,45808.7308117488,62666.7309929857,NA,42629.607943839,46526.6457960603,48519.1123993648,42839.1530388774,29758.3045930826,39385.6324439968,35321.4399703536,36205.3677460655,43833.7229034904,NA,55557.4080772889,NA,45332.8201136854,48952.1246308888,56180.4576447461,68985.6276724782,34423.0388090327,60382.2326266933,70097.0063510539,61739.0025270871,NA,NA,78297.2154862149,96321.2654132462,55304.6607255302,83110.0224356131,63411.4453901588,104102.658058956,46314.8114695259,73087.0053052638,NA,130983.32304508,65076.6856332638,74681.9637045647,104574.083333109,156819.825327493,104378.401680309,108416.267808188,130558.947035062,98466.1612546437,113511.136827364,218367.770514621,145256.837459011,81594.1306947503,79864.0833886555,77186.2066706329,79080.8339637965,76985.7908584554,76072.8704532552,78595.3527276028,86440.714677172,NA
"70","[10465] heptadecanoic acid [19.8]",682.278760840912,NA,571.828615072241,810.37437415159,596.085700348129,588.301333833908,591.916162996757,787.249606140911,668.661122414593,503.991428979384,NA,939.272419434743,693.579169718287,589.036582517222,349.534397500958,937.71888099416,512.33656230872,660.438969051378,450.747559006882,885.017345772606,648.623807373752,455.595863674222,481.491038281958,1105.54032678705,616.842649448056,NA,441.338291967053,829.727280297201,635.305111742384,594.070134144829,458.286927194005,911.176008314588,891.289535124758,686.325970207484,492.954249186112,956.302942630129,953.121166859949,743.468115175321,797.13630114036,1282.22808985306,956.72630901547,915.218077763961,615.614970050096,NA,1019.83840174487,563.378006773367,954.163893488077,1060.6745455119,NA,915.334456417379,756.251991228495,1498.87978865185,NA,876.998572756109,921.871697109003,1426.36823458787,1396.32352400523,1265.76176373088,896.867145588496,NA,1640.20061187342,1413.33494738026,1252.89910425169,1605.57375103693,842.147950504131,773.699796024984,1086.41013450312,862.905333313239,724.044380331761,721.675948243955,1008.60838920625,990.01316826898,360.165058348896,153.850782328472,577.302854094696,711.789477769651,338.361490312714,222.778010747613,590.240818118706,685.926515586112,660.354437225896,184.333583396675,550.362936393982,NA,338.709653256141,NA,565.649713038775,576.027511809478,291.499581230161,123.144663409601,1210.0476286275,688.831850781622,305.539622438147,326.305849601679,871.773607437888,818.062458602731,357.357284036595,123.796471948713,723.766673711486,703.276327911982,451.743917516996,127.495098508831,863.403420150106,746.280031830422,484.683768003267,256.570146061545,1037.66354296155,802.709843890237,671.916370207323,202.824203344834,765.924313319606,697.419502636288,1063.95862275226,233.749260476916,1288.66282318631,641.798144321907,980.42934901597,329.848112474309,1245.98723523737,NA,NA,688.51742678078,1292.42959412137,NA,1596.66971033165,1668.17014457691,1967.29078926988,1734.14306083598,371.002993512568,1948.15479944515,1366.77452610239,2658.48205230686,1339539.43432275,2321.55317663886,1129.80761834022,837.231395274977,NA,924.308365870402,957.334558050192,968.949732216519,897.194970557703,948.473731365284,NA
