# Notes : Entities from the selected region(s) of the Venn diagram:
#EL1 ^ EL2
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:36:34 CET 2017
Compound	Number Passed ( FF_blank_100% )	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
221.10516@1.2518805	1	2	476624.0	490646.0	717019.0	466342.0	436536.0	324181.0	812570.0	826829.0	454661.0	477641.0	436823.0	821993.0	477012.0	747947.0	456283.0	795191.0	846237.0	810984.0	464100.0	823312.0	487185.0	451306.0	818231.0	829564.0	749702.0	446482.0	456082.0	415353.0	921545.0	857392.0	813132.0	796753.0	431510.0	857427.0	487237.0	793108.0	476973.0	457564.0	314095.0	434220.0	816953.0	765199.0	805101.0	819112.0
121.08899@1.2555524	1	2	532198.0	428582.0	827792.0	457161.0	439026.0	484815.0	906228.0	818272.0	446146.0	458045.0	445829.0	896966.0	492467.0	829935.0	438824.0	888965.0	858743.0	854260.0	465828.0	903803.0	483654.0	468349.0	835756.0	942035.0	905620.0	462845.0	466200.0	458353.0	938855.0	901735.0	867321.0	855998.0	448327.0	867493.0	511273.0	885082.0	505939.0	493645.0	472864.0	455245.0	908614.0	874573.0	900240.0	915727.0
223.12119@1.4885666	1	2	191183.0	190860.0	358402.0	213257.0	180924.0	201914.0	370592.0	374543.0	174581.0	179560.0	178810.0	364406.0	186369.0	366056.0	175651.0	351471.0	349512.0	346009.0	183463.0	342791.0	200879.0	181420.0	342764.0	342998.0	368889.0	163797.0	183651.0	173215.0	343736.0	356806.0	352602.0	367144.0	176377.0	366792.0	204705.0	361808.0	184365.0	191892.0	184021.0	176733.0	366958.0	349623.0	344820.0	341035.0
223.12141@2.7019396	1	2	546261.0	543197.0	1225526.0	552630.0	556685.0	629596.0	1125500.0	1007851.0	499783.0	620070.0	590883.0	1194730.0	526198.0	1273233.0	512823.0	1280107.0	1240001.0	1246662.0	511529.0	1138843.0	617410.0	547183.0	1130034.0	1173829.0	1265584.0	523948.0	527321.0	532867.0	1209655.0	1191262.0	1199044.0	1144637.0	526731.0	1142435.0	627657.0	1204865.0	583367.0	580222.0	535768.0	502105.0	1191050.0	1180293.0	1193465.0	1117789.0
101.12037@2.7465007	1	2	175456.0	1.0	421318.0	167787.0	167791.0	177802.0	409902.0	388461.0	171672.0	162285.0	157670.0	423419.0	174391.0	432398.0	160673.0	434766.0	432344.0	374549.0	139991.0	407831.0	170497.0	174579.0	416389.0	424142.0	439326.0	161952.0	144280.0	150341.0	463777.0	360095.0	389617.0	396688.0	157613.0	419288.0	184256.0	416753.0	175184.0	174982.0	168090.0	154741.0	404679.0	392665.0	435313.0	1.0
221.10567@3.2163677	1	2	204248.0	171835.0	1.0	199506.0	191276.0	190273.0	374506.0	407467.0	183489.0	1.0	93182.0	328861.0	179095.0	420163.0	188542.0	1.0	307317.0	218888.0	174002.0	340315.0	123169.0	186965.0	324108.0	1.0	221182.0	132056.0	176826.0	129335.0	143392.0	348944.0	361325.0	291922.0	208453.0	1.0	121816.0	214041.0	115821.0	118248.0	132525.0	111170.0	205857.0	236320.0	202075.0	229749.0
113.08385@3.285349	1	2	103158.0	96938.0	192170.0	77513.0	1.0	183241.0	200963.0	248452.0	67198.0	66781.0	74042.0	222793.0	82595.0	192854.0	82833.0	160697.0	205970.0	176803.0	87617.0	150577.0	66218.0	88287.0	186935.0	145467.0	180277.0	1.0	86233.0	72480.0	141362.0	142951.0	216270.0	524407.0	1.0	229410.0	102734.0	192996.0	100858.0	93926.0	89123.0	78792.0	197037.0	206724.0	207141.0	203319.0
194.11555@3.3006556	1	2	138899.0	132744.0	269316.0	161627.0	105960.0	135835.0	276854.0	240436.0	115817.0	230952.0	122736.0	348180.0	149507.0	226702.0	1.0	1.0	205088.0	250011.0	1.0	245222.0	112894.0	119359.0	1.0	1.0	233762.0	102475.0	235869.0	119309.0	253932.0	234034.0	250393.0	212416.0	124100.0	285017.0	157607.0	258558.0	140445.0	34077.0	131746.0	76147.0	216485.0	238479.0	233175.0	256622.0
238.14195@3.414403	1	2	137007.0	302842.0	628618.0	171179.0	120002.0	203643.0	547467.0	315604.0	149004.0	575945.0	121273.0	562593.0	168623.0	282293.0	189121.0	490401.0	272859.0	896421.0	174622.0	304645.0	84177.0	124698.0	481168.0	182649.0	590137.0	89737.0	2701089.0	908257.0	393786.0	663566.0	357015.0	270053.0	94396.0	572297.0	123396.0	183108.0	101642.0	106014.0	101342.0	87356.0	199499.0	193029.0	189740.0	201549.0
299.1948@3.6206858	1	1	63493.0	84068.0	116331.0	46657.0	55766.0	53674.0	113637.0	112754.0	52356.0	53916.0	1.0	95421.0	1.0	104761.0	47072.0	112594.0	94990.0	156489.0	44487.0	114417.0	1.0	1.0	62160.0	50885.0	124906.0	1.0	645068.0	337775.0	76119.0	100101.0	100299.0	80885.0	1.0	88632.0	30701.0	59518.0	1.0	29635.0	1.0	1.0	60007.0	58057.0	59828.0	58328.0
