# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : K_PEX
#Experiment : AH_ZicHilic_positive
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_positive_2017_Aug_02_10_28_46
# Owner : gxuser
# Created On : Fri May 18 15:53:06 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
134.07317@2.905266	2	605081.0	606750.0	544089.0	892585.0	735214.0	699735.0	847417.0	751973.0	851538.0	700399.0	700761.0	1061641.0	546904.0	1.0	719233.0	1.0	848378.0	1.0	771794.0	662029.0	679983.0	582052.0	754788.0	694271.0	680913.0	1227642.0	844099.0	863393.0	1825614.0	1114867.0	622113.0	834559.0	756028.0	781741.0	718516.0	1047525.0	780580.0	658383.0	792311.0	1047102.0	748179.0	756885.0	804864.0	799417.0
192.15189@2.9006612	2	501598.0	558636.0	575432.0	650496.0	524493.0	1140966.0	561729.0	805243.0	685771.0	693173.0	487149.0	757390.0	563970.0	530295.0	582997.0	358003.0	661280.0	474804.0	524467.0	500828.0	1.0	625066.0	521583.0	531961.0	1910052.0	512025.0	438853.0	568926.0	1434290.0	1190712.0	1606150.0	894062.0	612226.0	925631.0	307698.0	392373.0	429686.0	334956.0	391644.0	406935.0	306588.0	1.0	314566.0	399745.0
209.10596@2.9266064	2	6606123.0	1.8520096E7	2.6624564E7	9426116.0	1.8426222E7	2627726.0	3.59046E7	1.077694E7	2.4524872E7	5609496.0	3.0292004E7	1.8288414E7	5643431.0	4.5448536E7	2342883.0	3.617886E7	1.2344289E7	3.4232752E7	1.1954246E7	1.7866364E7	3593830.0	1.0	1400447.0	1.7679224E7	267530.0	5025229.0	3537165.0	5.381422E7	1349137.0	7874213.0	2.4999476E7	1.1877954E7	1.6355173E7	229791.0	5532850.0	1.7862732E7	6611734.0	8029806.0	9684003.0	1.0786645E7	1.2169365E7	1.3407095E7	1.465991E7	1.696734E7
167.05882@2.9192235	2	1729668.0	4930237.0	6809918.0	2411116.0	4703895.0	721167.0	9069162.0	2853158.0	6182240.0	1422856.0	7652755.0	4754900.0	1496020.0	1.1404375E7	666775.0	9995519.0	3172266.0	8704910.0	3114730.0	4611136.0	942143.0	1.0	384031.0	4622197.0	1.0	1396876.0	920033.0	1.3427773E7	374334.0	2149009.0	6360729.0	3118801.0	4056695.0	1.0	1490924.0	4448167.0	1667289.0	2079699.0	2495758.0	2761778.0	3128954.0	3395002.0	3812989.0	4202085.0
76.031@2.9355085	2	345966.0	397796.0	332784.0	339473.0	291782.0	307586.0	1.0	1.0	381554.0	292505.0	326190.0	450247.0	321054.0	391035.0	257233.0	325070.0	296744.0	247271.0	362726.0	280105.0	366400.0	409252.0	291311.0	264906.0	318215.0	314421.0	302395.0	385018.0	452106.0	378886.0	356842.0	282053.0	288380.0	331835.0	232886.0	352383.0	322094.0	307170.0	303342.0	309880.0	307712.0	307280.0	312038.0	1.0
157.14719@2.9361875	2	3.081906E7	3.6777872E7	2.9969154E7	2.691081E7	2.2224886E7	3.5976808E7	3.1573592E7	4.651308E7	3.3117212E7	3.229606E7	4.7072388E7	5.0657528E7	3.6420816E7	6.1351772E7	4.3821128E7	2.7432378E7	4.2793172E7	2.9179144E7	4.6518596E7	3.049247E7	4.5987516E7	4.4086664E7	3.9594528E7	3.6231636E7	3.3448326E7	2.3575968E7	4.056896E7	3.4085528E7	2.9179086E7	3.0501566E7	4.0314452E7	5.2247792E7	5.5833216E7	4.5388312E7	1.9326422E7	1.972831E7	1.8277058E7	1.7915274E7	2.0995274E7	1.9045288E7	1.8265846E7	1.850217E7	1.9574462E7	1.9355988E7
195.09029@3.035238	2	2.9063146E7	3.1966356E7	4.210396E7	4.467212E7	3.9188376E7	6802448.0	3.844958E7	1.4296564E7	2.2526132E7	2.4737092E7	3.5144392E7	2.2664902E7	1.6773821E7	4.0576536E7	1.2230149E7	3.6833736E7	2.5576E7	3.7706668E7	1.6670511E7	4.6338016E7	8.2020952E7	2.4102712E7	2.9079244E7	3.031927E7	5.2198616E7	4.1115484E7	1.4360068E7	3.8578352E7	4.9121288E7	1.9934332E7	2.7284932E7	2.4261426E7	2.0938122E7	1.5237763E7	3.1073672E7	2.7783978E7	2.7863644E7	2.9921094E7	3.1010304E7	3.0727562E7	2.9548348E7	2.96503E7	2.9172222E7	2.9048252E7
153.04286@3.0352066	2	9042816.0	1.0725922E7	1.3819495E7	1.5478883E7	1.2621459E7	2379736.0	1.1845182E7	4587912.0	7450074.0	9470899.0	1.1822389E7	9092082.0	5050661.0	1.3586039E7	4338563.0	1.2509219E7	1.0249012E7	1.2687558E7	5744269.0	1.5279692E7	2.8862038E7	8608498.0	1.0748419E7	1.1880003E7	1.7552544E7	1.4804869E7	5550444.0	1.3099834E7	1.7931508E7	8558915.0	8675120.0	8008243.0	6692740.0	6042587.0	1.0821346E7	9677699.0	9993277.0	9942911.0	1.0363221E7	1.0166711E7	1.1483152E7	9974498.0	9871714.0	9818688.0
109.05281@3.0448442	1	2084135.0	2476015.0	2873745.0	3644494.0	2948548.0	1.0	3047708.0	1036187.0	1.0	1894710.0	2751449.0	1.0	1.0	3305874.0	1.0	2727654.0	1.0	3262925.0	1183173.0	3356213.0	6529371.0	1645829.0	2018209.0	2590930.0	4016932.0	2993368.0	1.0	3341571.0	3557493.0	1.0	2151093.0	1.0	1588843.0	1200344.0	2444568.0	2269845.0	2164227.0	3212853.0	2388980.0	2226889.0	2255267.0	2242921.0	2355439.0	2159647.0
197.17883@3.0439403	2	3164268.0	4083700.0	3205403.0	3010089.0	2357363.0	3446525.0	3746045.0	3498709.0	3917079.0	3079365.0	4366979.0	6244169.0	3060119.0	5807297.0	4802098.0	3324966.0	3873606.0	3055398.0	5416146.0	2710553.0	3708114.0	4565866.0	4046541.0	3946342.0	4489667.0	2529106.0	5308691.0	3422412.0	3246477.0	3306698.0	4553717.0	7540745.0	6168798.0	3890383.0	2087819.0	2137668.0	2168450.0	2070137.0	2084402.0	2157208.0	2095250.0	2111019.0	2131951.0	2164219.0
307.25137@3.1085076	2	212686.0	268119.0	161365.0	1.0	133351.0	199820.0	1.0	241734.0	244285.0	194478.0	180278.0	223906.0	182188.0	263198.0	191325.0	176021.0	248150.0	128986.0	304607.0	157192.0	142428.0	218985.0	143203.0	212887.0	115925.0	170051.0	257041.0	143358.0	178547.0	167116.0	226491.0	164462.0	283713.0	299513.0	121619.0	101570.0	111465.0	100732.0	113350.0	108713.0	95115.0	105217.0	110851.0	99108.0
269.1268@3.1272545	2	1843669.0	4492314.0	2771127.0	4669692.0	2297273.0	578437.0	4721209.0	394553.0	1966441.0	1173473.0	3770477.0	1147232.0	1237128.0	2842786.0	627214.0	1834137.0	1640870.0	2092017.0	1478200.0	2982425.0	2747037.0	628996.0	654159.0	1165499.0	2326243.0	1207713.0	704325.0	4970817.0	1212805.0	1083116.0	1031936.0	2186585.0	992529.0	702527.0	2168960.0	1840589.0	1904984.0	1928859.0	1986203.0	1895917.0	1903485.0	1919007.0	1936514.0	1865063.0
177.07945@3.1236	1	974072.0	2143429.0	1333871.0	2070023.0	1163594.0	299146.0	2103147.0	261981.0	1026745.0	1.0	1751627.0	1.0	602360.0	1424250.0	1.0	952803.0	756829.0	1086438.0	680773.0	1353644.0	1551262.0	448024.0	1.0	1.0	1292499.0	804696.0	1.0	2294949.0	667267.0	681527.0	1.0	1172029.0	1.0	1.0	1047364.0	1001485.0	1036839.0	919617.0	956968.0	1050229.0	1116122.0	1089538.0	1024443.0	1153148.0
72.05734@3.1273181	2	789404.0	372213.0	816932.0	1000588.0	687300.0	871376.0	586096.0	567948.0	703987.0	615946.0	902248.0	1426695.0	621195.0	521061.0	1048708.0	1.0	540195.0	579628.0	502652.0	810100.0	1110430.0	1205731.0	478119.0	889286.0	839129.0	1052802.0	932593.0	580477.0	934874.0	673438.0	810754.0	911403.0	1130156.0	868319.0	338528.0	316278.0	331020.0	325498.0	318242.0	295794.0	293494.0	299882.0	287154.0	275223.0
441.32147@3.1309154	2	90367.0	115593.0	76314.0	140557.0	76225.0	108288.0	1.0	62980.0	112443.0	96379.0	131757.0	230593.0	87747.0	79505.0	1.0	147047.0	110229.0	123739.0	114998.0	68814.0	96304.0	89177.0	125225.0	118268.0	82377.0	274066.0	1.0	98668.0	228236.0	144876.0	87278.0	99572.0	1.0	171606.0	52953.0	49079.0	56406.0	51891.0	1.0	58624.0	50119.0	56706.0	48392.0	51083.0
104.02949@3.0967424	2	430367.0	571828.0	378132.0	421801.0	338571.0	696442.0	398046.0	467828.0	561389.0	458357.0	558658.0	548989.0	529759.0	399402.0	464103.0	492409.0	1116391.0	917417.0	525076.0	429707.0	273688.0	724755.0	398817.0	1138664.0	1023523.0	431437.0	1112892.0	456127.0	540283.0	419448.0	464634.0	2237675.0	368819.0	632635.0	474937.0	404091.0	417653.0	425703.0	431130.0	422433.0	430610.0	445544.0	423321.0	414102.0
