# Notes : Entities from the selected region(s) of the Venn diagram:
#EL2 - (EL1 ^ EL2)
#
#EL1 : FF_blank_100%
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#EL2 : FF80%_K_vs_PEX
#    Source Experiment : AH_PoroshellC18_positive
#    Source Organism : Homo sapiens
#    Source Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
#
#
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_positive_2017_Aug_08_14_42_33
# Owner : gxuser
# Created On : Fri Dec 08 11:35:43 CET 2017
Compound	Number Passed ( FF80%_K_vs_PEX )	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
436.09958@0.8892855	2	41365.0	28535.0	68021.0	37818.0	22272.0	23612.0	68579.0	79479.0	1.0	1.0	21076.0	66923.0	26335.0	90456.0	27601.0	54702.0	75084.0	101891.0	31188.0	68071.0	31669.0	28365.0	61977.0	1.0	1.0	23201.0	1.0	27517.0	60971.0	57859.0	81683.0	59960.0	37828.0	48195.0	28199.0	51088.0	24117.0	22728.0	21795.0	1.0	51300.0	48024.0	49542.0	46860.0
905.8185@0.89267737	2	32920.0	32842.0	69029.0	36187.0	30646.0	38074.0	68440.0	71352.0	35172.0	34078.0	1.0	77760.0	35320.0	67361.0	33325.0	77190.0	71434.0	70924.0	36609.0	76815.0	38462.0	35158.0	75639.0	1.0	69545.0	33357.0	35592.0	35360.0	81199.0	79352.0	77112.0	73142.0	33479.0	82584.0	41397.0	77606.0	37857.0	37284.0	34357.0	34730.0	77723.0	72504.0	75602.0	71231.0
973.80536@0.8922915	1	25202.0	22319.0	49193.0	25405.0	1.0	27066.0	50200.0	53652.0	22887.0	24566.0	1.0	57397.0	1.0	49213.0	23259.0	56725.0	49679.0	1.0	25484.0	55267.0	28211.0	25270.0	55201.0	1.0	50714.0	24254.0	25646.0	26105.0	60762.0	59875.0	53495.0	1.0	22261.0	57102.0	28843.0	54065.0	1.0	26027.0	1.0	1.0	56638.0	1.0	52440.0	53477.0
769.84375@0.8931113	2	58597.0	55858.0	119114.0	61678.0	54320.0	64026.0	123074.0	124823.0	63929.0	59383.0	1.0	133324.0	62700.0	121085.0	56571.0	129889.0	124079.0	121868.0	63894.0	130593.0	67535.0	61365.0	126445.0	135167.0	119583.0	56996.0	64762.0	62229.0	141776.0	134857.0	139407.0	120939.0	56709.0	136823.0	69542.0	125365.0	65712.0	61350.0	60573.0	56635.0	130823.0	123788.0	122629.0	129544.0
837.8312@0.89287317	2	49808.0	46160.0	105137.0	53653.0	45663.0	58269.0	105807.0	108701.0	48707.0	50185.0	1.0	117965.0	52645.0	105637.0	48554.0	116323.0	106523.0	105745.0	53533.0	110194.0	59831.0	50498.0	110135.0	117381.0	105034.0	46734.0	54264.0	53510.0	122154.0	119979.0	116157.0	106181.0	47897.0	122090.0	59240.0	111387.0	55560.0	53411.0	51131.0	48004.0	113152.0	108838.0	112336.0	116018.0
701.85645@0.89323467	2	69597.0	68227.0	139762.0	72739.0	68206.0	80593.0	146331.0	147573.0	68021.0	75052.0	59048.0	158687.0	78887.0	146547.0	68470.0	159124.0	151619.0	145287.0	73350.0	154168.0	83082.0	76057.0	151492.0	161880.0	145288.0	70430.0	75902.0	72911.0	169539.0	163921.0	163647.0	144238.0	66441.0	165014.0	83603.0	156151.0	82244.0	77035.0	71716.0	71348.0	156909.0	148922.0	152311.0	154697.0
225.94498@0.89375025	2	652273.0	633383.0	1305284.0	672650.0	600881.0	695183.0	1329664.0	1357259.0	567570.0	667073.0	544404.0	1465692.0	688280.0	1424668.0	606224.0	1520127.0	1341589.0	1313142.0	653142.0	1308492.0	684756.0	657143.0	1331809.0	1337568.0	1354749.0	581940.0	625284.0	627048.0	1511982.0	1428951.0	1426097.0	1297321.0	650689.0	1462972.0	736947.0	1427667.0	694009.0	657811.0	648988.0	624949.0	1393174.0	1317863.0	1318913.0	1503632.0
361.9192@0.89406276	2	91981.0	87893.0	192824.0	98797.0	87119.0	100984.0	198527.0	199764.0	85451.0	96617.0	77637.0	205709.0	102315.0	193755.0	91443.0	212094.0	196834.0	196339.0	94061.0	186481.0	97768.0	99646.0	199733.0	201452.0	199182.0	88654.0	91487.0	93867.0	221726.0	215740.0	207935.0	193518.0	91008.0	211332.0	105210.0	205809.0	102112.0	96067.0	92497.0	89945.0	204889.0	195829.0	197031.0	209987.0
429.9068@0.8940316	2	133703.0	125511.0	270004.0	143461.0	122297.0	143299.0	282865.0	280255.0	125886.0	135037.0	107957.0	302299.0	141358.0	274963.0	128275.0	293922.0	282713.0	280877.0	137595.0	279957.0	147903.0	137903.0	281851.0	301619.0	277249.0	123870.0	131502.0	136548.0	303684.0	299178.0	301030.0	276616.0	128805.0	300686.0	152025.0	289293.0	142314.0	140096.0	127889.0	120236.0	294869.0	279126.0	282662.0	291489.0
633.86914@0.8936409	2	61627.0	59703.0	130294.0	67007.0	60039.0	74448.0	132613.0	134984.0	62040.0	64375.0	55421.0	144462.0	65298.0	130447.0	64486.0	140813.0	136611.0	128264.0	66677.0	135050.0	73149.0	65229.0	138011.0	144104.0	132516.0	61269.0	65354.0	65394.0	153870.0	145648.0	145962.0	133608.0	60213.0	144793.0	72079.0	140054.0	71383.0	67201.0	65710.0	59086.0	146763.0	134502.0	138579.0	139126.0
