# Notes : Entity List : FF 80percent QC blank extracted 
#Interpretation : K_PEX
#Experiment : AH_PoroshellC18_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 2 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_PoroshellC18_negative_2017_Aug_09_11_35_19
# Owner : gxuser
# Created On : Fri May 18 16:08:22 CEST 2018
Compound	Number Passed	K_10(raw)	K_17(raw)	K_19(raw)	K_2(raw)	K_21(raw)	K_22(raw)	K_3(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_6(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_30(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_34(raw)	PEX_69(raw)	PEX_8(raw)	PEX_84(raw)	QC_1(raw)	QC_10(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)
131.99101@0.84141654	2	65386.0	57064.0	65096.0	64859.0	62216.0	1.0	56241.0	61386.0	52790.0	50269.0	78984.0	61492.0	58710.0	58592.0	53333.0	52464.0	55153.0	58872.0	47897.0	53862.0	57768.0	54552.0	57774.0	54933.0	1.0	50007.0	51352.0	47315.0	47246.0	62835.0	50240.0	50740.0	59739.0	46121.0	55556.0	47226.0	49611.0	45850.0	52049.0	46582.0	48265.0	44800.0	49784.0	46162.0
115.99583@0.8408905	2	135864.0	138629.0	122183.0	146383.0	124940.0	123423.0	129150.0	132880.0	141630.0	134083.0	137731.0	125041.0	141736.0	111862.0	125351.0	106941.0	116782.0	127880.0	118280.0	101201.0	115940.0	137280.0	69246.0	114811.0	93322.0	114691.0	118251.0	112458.0	90925.0	143927.0	129319.0	136742.0	125215.0	85223.0	109769.0	95576.0	121260.0	113714.0	111485.0	112294.0	112660.0	108491.0	91908.0	84621.0
227.9733@0.8650625	2	52567.0	51600.0	61477.0	55751.0	46127.0	44074.0	47343.0	46297.0	55088.0	52660.0	48257.0	55481.0	55023.0	53107.0	41479.0	51989.0	51883.0	49996.0	47115.0	51842.0	47821.0	52752.0	52968.0	50366.0	37881.0	46662.0	41887.0	42378.0	43893.0	55239.0	49013.0	48255.0	42919.0	40707.0	54568.0	42090.0	44642.0	42116.0	41421.0	40077.0	39803.0	38769.0	42917.0	36403.0
295.9602@0.8669669	2	34759.0	35712.0	38529.0	40634.0	32229.0	31966.0	33966.0	33654.0	37490.0	35464.0	34456.0	34237.0	36525.0	33520.0	1.0	33575.0	34988.0	35130.0	31196.0	34156.0	34645.0	36810.0	37779.0	35309.0	25364.0	35153.0	29918.0	30287.0	1.0	38133.0	35339.0	35196.0	31007.0	28502.0	36040.0	27332.0	31519.0	30095.0	28324.0	24083.0	28258.0	28546.0	29314.0	1.0
363.94763@0.86835486	2	58139.0	61351.0	64165.0	61798.0	54271.0	51926.0	52400.0	50896.0	61379.0	57933.0	53349.0	56147.0	59933.0	53840.0	49150.0	51294.0	54585.0	50660.0	54849.0	54039.0	49572.0	59653.0	56828.0	54886.0	40998.0	53360.0	47786.0	1.0	46336.0	60171.0	57736.0	53510.0	49838.0	45600.0	56298.0	43834.0	52740.0	48047.0	46775.0	42786.0	45460.0	45338.0	45688.0	37339.0
657.8919@0.88776964	2	100271.0	103466.0	100002.0	105760.0	94301.0	100886.0	93997.0	99257.0	99361.0	102343.0	83726.0	100257.0	107017.0	91885.0	96597.0	104406.0	101325.0	91202.0	110060.0	101688.0	102579.0	115197.0	99761.0	98600.0	99862.0	111606.0	97127.0	111795.0	108076.0	108392.0	108713.0	94756.0	100043.0	102425.0	113475.0	92928.0	105352.0	108506.0	106775.0	105496.0	102305.0	100574.0	95164.0	88075.0
793.8673@0.8878441	2	79021.0	80722.0	78183.0	86035.0	79536.0	85293.0	76261.0	77693.0	84341.0	82650.0	71336.0	84594.0	82148.0	76185.0	76803.0	84274.0	82133.0	75590.0	92865.0	85949.0	86978.0	92526.0	79876.0	87186.0	81275.0	91017.0	83612.0	93976.0	88947.0	87994.0	84872.0	70786.0	84948.0	78038.0	89051.0	77250.0	86415.0	85496.0	83448.0	84993.0	83543.0	82478.0	79354.0	67345.0
725.8796@0.88768786	2	95831.0	97974.0	90129.0	99422.0	93068.0	95881.0	90309.0	86752.0	96412.0	99666.0	81671.0	94077.0	96038.0	91540.0	90478.0	99020.0	97235.0	84502.0	105386.0	100054.0	103826.0	106893.0	94013.0	98582.0	94518.0	105919.0	94855.0	109994.0	104713.0	101197.0	98900.0	88248.0	94592.0	95835.0	108328.0	89569.0	105785.0	101338.0	96765.0	96843.0	92482.0	95037.0	91767.0	80434.0
589.9045@0.88795495	2	145371.0	149768.0	144232.0	158392.0	136271.0	144623.0	135488.0	142448.0	138148.0	147481.0	123144.0	139403.0	148613.0	139918.0	138608.0	146530.0	145554.0	138668.0	157189.0	149976.0	158120.0	167679.0	139016.0	157889.0	142060.0	161104.0	148974.0	156382.0	156321.0	162482.0	145595.0	130926.0	144151.0	143751.0	151978.0	138478.0	148978.0	150749.0	153868.0	147421.0	148565.0	147190.0	130109.0	126019.0
317.955@0.8902271	2	164725.0	167649.0	163549.0	174722.0	160318.0	156345.0	152314.0	155133.0	159227.0	162001.0	147312.0	170603.0	168118.0	161481.0	153611.0	171667.0	164927.0	155251.0	165524.0	175718.0	168997.0	174973.0	163222.0	167364.0	160447.0	172932.0	159651.0	180625.0	180493.0	166829.0	162114.0	155801.0	160502.0	165591.0	186270.0	160559.0	173378.0	169371.0	158140.0	165031.0	161602.0	156632.0	162992.0	151618.0
385.94232@0.88953024	2	126583.0	126864.0	121222.0	128776.0	118844.0	116834.0	117631.0	116904.0	127464.0	125118.0	106491.0	124298.0	126874.0	119436.0	119083.0	125865.0	127286.0	119573.0	129498.0	127374.0	131313.0	131020.0	121604.0	124729.0	121462.0	133347.0	123345.0	136407.0	128028.0	125010.0	125836.0	110557.0	121818.0	118577.0	137027.0	118834.0	135566.0	129890.0	127634.0	124727.0	122139.0	123607.0	124497.0	109834.0
113.99287@0.88996637	2	152845.0	153415.0	173292.0	152804.0	144524.0	150673.0	136448.0	144733.0	147072.0	1.0	133741.0	176716.0	158998.0	183966.0	143298.0	188836.0	175873.0	1.0	153533.0	180320.0	151453.0	160251.0	171758.0	174367.0	150132.0	1.0	146942.0	1.0	193506.0	142715.0	145435.0	144435.0	140441.0	177043.0	183080.0	167449.0	155747.0	158303.0	144324.0	146888.0	147261.0	141117.0	184949.0	168927.0
249.97623@0.8927458	2	113249.0	124840.0	126183.0	160374.0	126392.0	111687.0	153863.0	153237.0	100226.0	138673.0	143422.0	132287.0	123337.0	126408.0	1.0	108470.0	116466.0	116749.0	123145.0	145934.0	133698.0	127023.0	120990.0	145011.0	118783.0	115632.0	119249.0	125261.0	198802.0	144988.0	127318.0	128820.0	1.0	204389.0	1.0	173017.0	123735.0	133453.0	147248.0	128551.0	141505.0	114220.0	116270.0	135338.0
