# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : Samples
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 4 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri Aug 04 08:20:47 CEST 2017
Compound	Number Passed	DM_4(raw)	DM_44(raw)	DM_46(raw)	DM_58(raw)	DM_72(raw)	DM_74(raw)	DM_76(raw)	DM_82(raw)	DM_86(raw)	DM_89(raw)	DM_94(raw)	DM_99(raw)	DM_302(raw)	DM_303(raw)	DM_305(raw)	DM_316(raw)	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	PEX_41(raw)	PEX_98(raw)	PEX_315(raw)	PEX_319(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
620.3756@3.2538128	4	84900.0	49948.0	51055.0	62590.0	103366.0	57311.0	78378.0	101682.0	68747.0	53087.0	58206.0	52592.0	45677.0	108144.0	66072.0	82637.0	70727.0	93911.0	55758.0	68963.0	64939.0	60442.0	32255.0	79094.0	38237.0	67073.0	54625.0	60763.0	129324.0	59275.0	54083.0	51409.0	62313.0	67918.0	64134.0	61843.0	52460.0	49740.0	62695.0	88258.0	74595.0	54156.0	64989.0	70834.0	41801.0	96063.0	100305.0	61647.0	135855.0	62295.0	51131.0	60368.0	51668.0	64212.0	29097.0	32660.0	24672.0	28346.0	27342.0	25079.0	28338.0	22582.0	28672.0	24751.0
428.09998@3.2708268	2	42477.0	76472.0	97334.0	158118.0	78631.0	64774.0	45434.0	107226.0	51833.0	1.0	1.0	50375.0	1.0	26862.0	1.0	41404.0	28335.0	40317.0	43343.0	52058.0	1.0	32676.0	65870.0	44278.0	40321.0	74003.0	33301.0	1.0	36207.0	53823.0	26117.0	59595.0	36952.0	70951.0	32230.0	27491.0	35524.0	1.0	21439.0	49785.0	1.0	134650.0	35845.0	45778.0	113011.0	1.0	48361.0	1.0	34538.0	1.0	33366.0	33051.0	112956.0	86198.0	40994.0	53808.0	44412.0	1.0	43707.0	40940.0	57216.0	44412.0	41779.0	48167.0
824.5619@3.267656	4	295085.0	256305.0	218546.0	286324.0	421318.0	241041.0	322362.0	584600.0	287009.0	226732.0	219020.0	232406.0	205341.0	523243.0	280861.0	302172.0	315921.0	334679.0	251973.0	274367.0	272857.0	280859.0	243775.0	314412.0	189909.0	294258.0	247929.0	274938.0	579401.0	257572.0	226778.0	237773.0	235675.0	313042.0	258356.0	248474.0	239949.0	233198.0	272080.0	471084.0	294277.0	295347.0	253284.0	263081.0	221086.0	388065.0	369629.0	296619.0	528945.0	226780.0	257939.0	274532.0	237107.0	261900.0	135614.0	117353.0	138636.0	140004.0	121976.0	131581.0	126903.0	130113.0	125593.0	127412.0
327.10617@3.2723393	4	33935.0	97009.0	86335.0	151254.0	74737.0	66100.0	53728.0	108481.0	87304.0	47206.0	23744.0	44154.0	1.0	21560.0	27343.0	47077.0	34876.0	42903.0	57800.0	65398.0	1.0	48204.0	124078.0	43881.0	44584.0	83158.0	38536.0	39163.0	46709.0	78640.0	37212.0	59801.0	46196.0	79407.0	33348.0	38875.0	31005.0	25953.0	25449.0	41772.0	31009.0	153307.0	36496.0	46351.0	106765.0	41344.0	34355.0	31636.0	31184.0	22823.0	46891.0	41916.0	112667.0	92130.0	67866.0	63385.0	60810.0	58706.0	62215.0	56903.0	57018.0	55278.0	56901.0	54098.0
264.11102@3.276219	4	673354.0	2949941.0	2617949.0	4742408.0	2009426.0	1724980.0	1278771.0	3310853.0	2357864.0	1008378.0	522058.0	1058889.0	248381.0	635086.0	609056.0	1055215.0	860310.0	1068387.0	1029986.0	1720268.0	570707.0	1058121.0	3878768.0	1043553.0	1011645.0	1913822.0	935854.0	813061.0	903446.0	1813531.0	867954.0	1692554.0	951172.0	2323648.0	829702.0	760183.0	867489.0	673319.0	621225.0	1021553.0	631319.0	4066137.0	900401.0	1409436.0	3737006.0	996150.0	839881.0	777001.0	890112.0	624536.0	729647.0	975697.0	3860079.0	2591055.0	1438118.0	1513199.0	1554430.0	1461047.0	1436122.0	1437278.0	1471514.0	1401953.0	1343245.0	1311026.0
349.08777@3.2890532	3	84643.0	1.0	221890.0	394222.0	206607.0	166817.0	149801.0	264481.0	214738.0	119231.0	69720.0	109326.0	1.0	77298.0	1.0	111307.0	100171.0	123384.0	104387.0	190241.0	104183.0	112897.0	223988.0	101095.0	99209.0	180986.0	103921.0	87780.0	1.0	194264.0	103863.0	166421.0	116169.0	211387.0	84710.0	79092.0	101121.0	1.0	68365.0	107593.0	1.0	1.0	106488.0	147497.0	260428.0	113226.0	94415.0	1.0	94419.0	74897.0	64441.0	106744.0	260545.0	242097.0	139755.0	159644.0	148715.0	147689.0	121406.0	152421.0	146040.0	146722.0	149529.0	139483.0
189.99274@3.4194763	4	387675.0	2583572.0	1193038.0	2176153.0	5315062.0	1084839.0	1143792.0	866258.0	1214353.0	607893.0	1449173.0	1674441.0	1589081.0	2.4944494E7	4998187.0	863415.0	1430825.0	566909.0	988496.0	387526.0	838604.0	215934.0	2255266.0	1055514.0	1165684.0	387179.0	1145674.0	1339259.0	462873.0	2675865.0	766090.0	734618.0	1129704.0	2399796.0	472306.0	474545.0	464048.0	500219.0	6500699.0	623998.0	1.0	1390971.0	655659.0	1650764.0	3517685.0	1047695.0	2225560.0	205141.0	521327.0	1034722.0	736927.0	182550.0	2.4854966E7	1871973.0	1537486.0	1568617.0	1624039.0	1578568.0	1466766.0	1604487.0	1437581.0	1425666.0	1348410.0	1318752.0
232.00186@3.4361856	1	932708.0	543197.0	2581824.0	1.0	564977.0	1.0	132144.0	1.0	321269.0	210012.0	1.0	159887.0	171962.0	1.0	291054.0	1.0	684145.0	1517767.0	393128.0	4057922.0	1.0	368299.0	822575.0	765655.0	447728.0	625404.0	181630.0	2221071.0	182517.0	311722.0	1.0	376559.0	717467.0	456822.0	248540.0	1433501.0	547761.0	424785.0	321081.0	184565.0	1.0	1.0	1.0	509820.0	1.0	1.0	1.0	1.0	424920.0	1.0	1165445.0	1.0	1.0	1.0	323954.0	245306.0	351334.0	299149.0	357730.0	360252.0	1.0	256815.0	1.0	203196.0
216.07999@3.4510984	4	591185.0	1883273.0	818973.0	463118.0	398891.0	548224.0	689030.0	1478308.0	725354.0	1836482.0	855934.0	889948.0	924523.0	414642.0	807427.0	614441.0	428790.0	737193.0	1.0	799003.0	382592.0	1314694.0	226284.0	508499.0	976588.0	1.0	481169.0	225532.0	837355.0	551986.0	803282.0	1.0	1117053.0	1033466.0	604737.0	604855.0	581436.0	762808.0	247563.0	1163762.0	800546.0	935639.0	690961.0	323166.0	492391.0	445137.0	588830.0	998528.0	217163.0	685746.0	1595598.0	870659.0	242066.0	820261.0	369709.0	581303.0	699340.0	458147.0	516686.0	959704.0	569041.0	595703.0	556753.0	509022.0
182.0575@3.529305	3	228869.0	484682.0	208447.0	523946.0	223779.0	248484.0	242511.0	227283.0	290440.0	239464.0	278275.0	343753.0	273716.0	171397.0	344530.0	1.0	383996.0	345099.0	465183.0	491011.0	236312.0	398644.0	552743.0	1.0	323445.0	421001.0	195092.0	372589.0	330700.0	319110.0	226326.0	213102.0	352167.0	606581.0	318423.0	309731.0	500230.0	1.0	258461.0	459423.0	293421.0	538070.0	229635.0	334802.0	446614.0	207667.0	271008.0	183184.0	1.0	232531.0	360561.0	259085.0	243044.0	1.0	270572.0	281116.0	278521.0	261456.0	248051.0	256807.0	237797.0	242346.0	249409.0	249208.0
