# Notes : Entity List : FF_QC80percent_noBlank
#Interpretation : K_PEX 
#Experiment : AH_ZicHilic_negative
#Flag Value: [Present]
#Entities where at least 80.0 percent of samples in any 1 out of 3 conditions have flags in [Present]
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.AH_ZicHilic_negative_2017_Aug_03_15_15_25
# Owner : gxuser
# Created On : Fri May 18 16:00:57 CEST 2018
Compound	Number Passed	K_2(raw)	K_3(raw)	K_6(raw)	K_10(raw)	K_17(raw)	K_19(raw)	K_21(raw)	K_22(raw)	K_35(raw)	K_36(raw)	K_48(raw)	K_51(raw)	K_52(raw)	K_59(raw)	K_61(raw)	K_66(raw)	K_68(raw)	K_70(raw)	K_83(raw)	PEX_8(raw)	PEX_30(raw)	PEX_34(raw)	PEX_69(raw)	PEX_84(raw)	PEX_304(raw)	PEX_307(raw)	PEX_308(raw)	PEX_309(raw)	PEX_310(raw)	PEX_312(raw)	PEX_314(raw)	PEX_317(raw)	PEX_320(raw)	PEX_321(raw)	QC_1(raw)	QC_2(raw)	QC_3(raw)	QC_4(raw)	QC_5(raw)	QC_6(raw)	QC_7(raw)	QC_8(raw)	QC_9(raw)	QC_10(raw)
428.09998@3.2708268	2	28335.0	40317.0	43343.0	52058.0	1.0	32676.0	65870.0	44278.0	40321.0	74003.0	33301.0	1.0	36207.0	53823.0	26117.0	59595.0	36952.0	70951.0	32230.0	27491.0	35524.0	1.0	21439.0	49785.0	1.0	134650.0	35845.0	45778.0	113011.0	1.0	48361.0	1.0	34538.0	1.0	40994.0	53808.0	44412.0	1.0	43707.0	40940.0	57216.0	44412.0	41779.0	48167.0
576.2852@3.2710829	1	14317.0	18428.0	1.0	29839.0	1.0	1.0	94654.0	29635.0	1.0	1.0	1.0	14165.0	1.0	31823.0	14538.0	22275.0	1.0	44336.0	17816.0	1.0	1.0	1.0	1.0	1.0	1.0	104044.0	1.0	23938.0	73574.0	1.0	1.0	1.0	1.0	1.0	22543.0	27434.0	24420.0	24465.0	23471.0	36970.0	24199.0	24741.0	20058.0	1.0
824.5619@3.267656	3	315921.0	334679.0	251973.0	274367.0	272857.0	280859.0	243775.0	314412.0	189909.0	294258.0	247929.0	274938.0	579401.0	257572.0	226778.0	237773.0	235675.0	313042.0	258356.0	248474.0	239949.0	233198.0	272080.0	471084.0	294277.0	295347.0	253284.0	263081.0	221086.0	388065.0	369629.0	296619.0	528945.0	226780.0	135614.0	117353.0	138636.0	140004.0	121976.0	131581.0	126903.0	130113.0	125593.0	127412.0
146.06735@3.2736244	1	1.0	71070.0	1.0	115101.0	1.0	80352.0	292372.0	96488.0	1.0	151053.0	1.0	94982.0	80567.0	117607.0	1.0	133799.0	73772.0	180233.0	1.0	80864.0	1.0	1.0	1.0	105519.0	1.0	320943.0	1.0	1.0	290758.0	72093.0	84028.0	1.0	68923.0	55258.0	103597.0	1.0	126611.0	130213.0	95622.0	118933.0	137506.0	1.0	98696.0	114770.0
327.10617@3.2723393	3	34876.0	42903.0	57800.0	65398.0	1.0	48204.0	124078.0	43881.0	44584.0	83158.0	38536.0	39163.0	46709.0	78640.0	37212.0	59801.0	46196.0	79407.0	33348.0	38875.0	31005.0	25953.0	25449.0	41772.0	31009.0	153307.0	36496.0	46351.0	106765.0	41344.0	34355.0	31636.0	31184.0	22823.0	67866.0	63385.0	60810.0	58706.0	62215.0	56903.0	57018.0	55278.0	56901.0	54098.0
264.11102@3.276219	3	860310.0	1068387.0	1029986.0	1720268.0	570707.0	1058121.0	3878768.0	1043553.0	1011645.0	1913822.0	935854.0	813061.0	903446.0	1813531.0	867954.0	1692554.0	951172.0	2323648.0	829702.0	760183.0	867489.0	673319.0	621225.0	1021553.0	631319.0	4066137.0	900401.0	1409436.0	3737006.0	996150.0	839881.0	777001.0	890112.0	624536.0	1438118.0	1513199.0	1554430.0	1461047.0	1436122.0	1437278.0	1471514.0	1401953.0	1343245.0	1311026.0
349.08777@3.2890532	2	100171.0	123384.0	104387.0	190241.0	104183.0	112897.0	223988.0	101095.0	99209.0	180986.0	103921.0	87780.0	1.0	194264.0	103863.0	166421.0	116169.0	211387.0	84710.0	79092.0	101121.0	1.0	68365.0	107593.0	1.0	1.0	106488.0	147497.0	260428.0	113226.0	94415.0	1.0	94419.0	74897.0	139755.0	159644.0	148715.0	147689.0	121406.0	152421.0	146040.0	146722.0	149529.0	139483.0
180.06401@3.3338	1	1.0	1.0	1.0	1.0	1.0	1.0	2.5730878E7	1.0	1.0	1.0	1.0	666546.0	457855.0	6733184.0	1.0	172098.0	677960.0	488625.0	1.0	663533.0	1.0	1.0	1.0	1.5376342E7	1.0	2646537.0	322349.0	1.0	590525.0	1.0	1.0	1.0	1.0	550019.0	425787.0	421954.0	409968.0	422705.0	417725.0	403449.0	427307.0	400335.0	413750.0	410392.0
189.99274@3.4194763	3	1430825.0	566909.0	988496.0	387526.0	838604.0	215934.0	2255266.0	1055514.0	1165684.0	387179.0	1145674.0	1339259.0	462873.0	2675865.0	766090.0	734618.0	1129704.0	2399796.0	472306.0	474545.0	464048.0	500219.0	6500699.0	623998.0	1.0	1390971.0	655659.0	1650764.0	3517685.0	1047695.0	2225560.0	205141.0	521327.0	1034722.0	1537486.0	1568617.0	1624039.0	1578568.0	1466766.0	1604487.0	1437581.0	1425666.0	1348410.0	1318752.0
110.03586@3.4196284	1	287119.0	138773.0	212880.0	85419.0	168952.0	1.0	422648.0	1.0	1.0	1.0	1.0	270159.0	1.0	497967.0	162460.0	1.0	253942.0	503021.0	118824.0	116433.0	1.0	132246.0	1205028.0	1.0	170199.0	1.0	154169.0	1.0	647465.0	1.0	419356.0	1.0	1.0	225220.0	296796.0	318040.0	311024.0	310942.0	292694.0	321294.0	282918.0	287676.0	304750.0	1.0
